Alexis Smith
Alexz Johnson
Ali Liebert
Alisen Down
Amanda Crew
Andrea Bang
Anita Majumdar
Anna Galvin
Anne Openshaw
Aryana Engineer
Françoise Yip
Barbara Williams
Brittany Tiplady
Brooklynn Proulx
Carmen Moore
Carrie-Anne Moss
Laine MacNeil
Pascale Hutton
Patricia Dahlquist
Patricia Owens
Taylor Hickson
Merritt Patterson
Molly Parker
Sarena Parmar
Sonya Salomaa
Ta'Kaiya Blaney
Victoria Duffield
Ingrid Torrance
Jennifer Gillis
Nicola Cavendish
Samantha Ferris
G.NA
Goldie Semple
Kim Cattrall
Kristi Angus
Kristie Marsden
Kristin Lehman
Krystal Garib
Maya Ritter
Natalie Lisinska
Vanessa King
Whitney Peak
Elicia MacKenzie
Elise Gatien
Erica Carroll
Gillian Barber
Gina Holden
Grace Dove
Lauren Glazier
Lauren Hammersley
Linda Chung
Lynn Colliar
Michelle Mylett
Zoe Leigh Hopkins
Claire Corlett
Darla Vandenbossche
Dianne Doan
Janyse Jaud
Jayli Wolf
Jessica Amlee
Jewel Staite
Jodelle Ferland
Crystal Dahl
Laci J. Mailey
Laura Bruneau
Laura Mennell
Serinda Swan
Janet Kidder
Kayla Lorette
Pamela Anderson
Sandy Sidhu
Sarah Chalke
Sarah Grey
