Amanda Tepe
Amy Yasbeck
Ann May
Irene Manning
Blanche Mehaffey
Brenda Scott
Brette Taylor
Carmen Electra
Louise Beavers
Miriam Snitzer
Pat Stanley
Theda Bara
Vicki Lewis
Virginia Payne
Doris Day
Dorothy Layton
Jennie Worrell
Julie Hagerty
Nikki Glaser
Rebecca Budig
Regina King
Fanny Midgley
Galadriel Stineman
KiKi Layne
Emily Harper
Gertrude Michael
Gertrude Short
Gina Malo
Majel Coleman
Marjorie Monaghan
Shamika Cotton
Dagney Kerr
Diana-Maria Riva
Eve McVeagh
Evelyn Venable
Floriana Lima
Hudson Leick
Jo Ellen Pellman
Jordan Trovillion
Kathryn Morris
Susan Floyd
Heidi Mueller
Iva Shepard
J. Madison Wright Morris
Patti Astor
Pauline Hall
Libby Holman
Marcia Lewis
Marguerite Clark
Pamella D'Pella
Trixie Friganza
Wendy Robie
