Aaliyah
Alexandra Silber
Anita Mann
Anne Fletcher
Audrey Ferris
Freda Payne
Barbara Meek
Barbara Tarbuck
Besedka Johnson
Betty Hutton
Carol Christensen
Genevieve Hamper
Lonette McKee
Loni Love
Maggie Keenan-Bolger
Miriam Shor
Misty Lee
Patricia Alice Albrecht
Patricia English
Tara Lipinski
Tasha Biltmore
S. Epatha Merkerson
Celia Keenan-Bolger
Cha Cha
Chandra Davis
Chanté Adams
Dixie Chene
Donna McKechnie
Donyale Luna
Doris Dowling
Dorothy Steel
Jennifer Gan
Joyce Randolph
Jude Demorest
Judy Greer
Julie Atlas Muz
June Carroll
Maureen Anderman
Nicki Micheaux
Nicole Alexander
Rebekah Brandes
Roz Ryan
Sharon Case
Shaun Robinson
Sherilyn Fenn
Della Reese
Denise Gordy
Denise Nicholas
Kenya Moore
Kim Hunter
Kristen Bell
Kron Moore
Maylia
Myndy Crist
Elisabeth Harnois
Elizabeth Mathis
Ella Joyce
Ellen Burstyn
Ellen Hollman
Gilda Radner
Gloria Lynne Henry
Gloria Manon
Lauri Peters
Lin Shaye
Lynn Borden
Lynne Moody
Marian Javits
Marilyn Buferd
Marla Gibbs
Marlene Willoughby
Marlo Thomas
Martha Henry
Michelle Ruff
Piper Laurie
Shanesia Davis-Williams
Simone Missick
Sreeleela
Stephanie Bachelor
Chase Sui Wonders
Christina Kokubo
Claire Anderson
Deborah Goodrich
Deborah Joy Winans
Diamond White
Diana Ross
Diarra Kilpatrick
Diona Reasonover
Edith Meiser
Edna Hibbard
Elaine Stritch
Jessica Cauffiel
Joan Barry
Joan Gerber
Joan Leslie
Reagan Gomez-Preston
Crystal Reed
Laura Devon
Mabel Withee
Mary Scheer
Selma Blair
Haley Bishop
Jana Kramer
Janie Sell
Katt Shea
Nayo Wallace
Ryan Destiny
Phyllis Kennedy
Phyllis Povah
Lily Tomlin
Marguerite MacIntyre
Pam Dawber
Renée Elise Goldsberry
Terry Dexter
Venida Evans
Veronica Webb
