Adrienne Corri
Aimi MacDonald
Aisha Toussaint
Andrea Allan
Anne Aston
Anne Downie
Freya Mavor
Barbara Rafferty
Blythe Duff
Lois de Banzie
Lorna Heilbron
Lorraine McIntosh
Maev Alexander
Molly Urquhart
Molly Weir
Sorcha Groundsell
Vivien Heilbron
Cecilia Loftus
Dora Mavor Moore
Jeannie Fisher
Julie Wilson Nimmo
Maureen Swanson
Nell Ballantyne
Ruby Barker
Sharman Macdonald
Sharon Small
Sheila Reid
Feryna Wazheir
Lesley Fitz-Simons
Natalie J. Robb
Valerie Gogan
Colette O'Neil
Elizabeth MacLennan
Elizabeth Sellars
Ella Logan
Elliott Mason
Erin Gavin
Ida Schuster
Lulu
Marianna Palka
Michelle Gomez
Siobhan Redmond
Synnøve Karlsen
Zoë Eeles
Clare Grogan
Dawn Steele
Debbie Linden
Deborah Kerr
Deborah Wallace
Eileen Herlie
Eileen McCallum
Elaine C. Smith
Eubha Akilade
Eunice Gayson
Jayd Johnson
Keira Lucchesi
Kelly Macdonald
Millie Innes
Morven Christie
Rachel Rice Dooley
Kaiya Jones
Laura Fraser
Mary Gordon
Mary Ure
Holly Jack
Jane Lee
Jane McCarry
Kate Dickie
Kathleen McDermott
Katy Murphy
Kay Tremblay
Kiran Sonia Sawar
Kirsty Mitchell
Kirsty Strain
Helena Carroll
Phyllida Law
Libby McArthur
Marcella Evaristi
Robina Qureshi
Ros Drinkwater
