Adrianne Curry
Agnes Ayres
Alexandra DiNovi
Alexandra Picatto
Amy Morton
Ann Nesby
Anna Slotky
Ashley Palmer
Audrey Totter
Freya Adams
Ireene Wicker
Lee and Lyn Wilde
Leona Roberts
Barbara Ann Teer
Barbara Hale
Barbara Stock
Barbara Stuart
Beatrice Gray
Bernardine Flynn
Betty Jane Rhodes
Betty Jane Watson
Betty Mack
Betty White
Beverly Archer
Billie Hayes
Bonnie Bartlett
Britt Lower
Busy Philipps
Calista Flockhart
Carol Huston
Caroline Cooke
Carrie Snodgress
Loie Fuller
Lois Nettleton
Lorinne Vozoff
Louise Stanley
Patricia Tallman
Stana Katic
Tami Erin
Melora Walters
Mercedes Mason
Mercedes McCambridge
Meredith Monroe
Merna Kennedy
Moira Harris
Neva Gerber
Sonal Shah
Sondra Gair
Vilma Ebsen
Viola Katherine Clemmons
Virginia Cherrill
Virginia Gregg
Yvonne Craig
Yvonne Howell
Zelma O'Neal
Cecily Strong
Doris Davenport
Dorothy Van
Gwendolyn Pates
Jean Paige
Jean Yoon
Jennie Garth
Jennifer Lien
Jennifer Rhodes
Joyce Taylor
Judith Ivey
June Haver
June Squibb
Nicholle Tom
Seana Kofoed
Denise Richards
Felicity LaFortune
Fern Andra
Gail O'Grady
Kim Chizevsky-Nicholls
Kristin Dattilo
Meagen Fay
Myrtle Vail
Natasha Leggero
Natashia Williams
Cathy Kelley
Colleen Zenk
Connie Boochever
Courtney Reed
Ellen Crawford
Ellie Reed
Gertrude Le Brandt
Gladys Gale
Karen Allen
Karen Black
Lauren Patten
Laurie Metcalf
Lea DeLaria
Lynne Thigpen
Mariclare Costello
Marie Harmon
Marin Mazzie
Marlee Matlin
Martha Sleeper
Melanie Chandra
Melanie Paxson
Melissa McCarthy
Michelle Shields
Michelle Williams
Michole Briana White
Charlotte Merriam
Charlotte Pierce
Charlotte Ross
Christina Moore
Christopher Anne Templeton
Cindy Crawford
Cindy Morgan
Cleo Madison
Deanna Lund
Diana Gibson
Esther Povitsky
Ethel Clayton
Etta Hawkins
Jaimee Foxworth
Jayne Brook
Jessica Lu
Jillian Wheeler
Jo Sullivan Loesser
Joan Allen
Jocelyn Brando
Jodi Benson
Jodi Carlisle
Keke Palmer
Kelley Menighan Hensley
Kelly Jean Van Dyke
Rachel Avery
Rachel Brosnahan
Rachel Melvin
Rachel Veltri
Crista Flanagan
Cynda Williams
Cynthia Stone
LaVern Baker
Laura Bowman
Mabel Trunnelle
Mary Astor
Mary Beth Hughes
Mary Elizabeth Mastrantonio
Mary Hartline
Mary Lee
Senta Moses
Winifred Freedman
Hope Summers
Janina Gavankar
Katharine Bard
Kathryn Hahn
Kathryn Hays
Kathryn Layng
Kayleigh McKee
Nada Rowand
Nan Martin
Nancy Snyder
Susan Dey
Susan Saint James
Suzanne Snyder
Angela Watson
Heather Dorff
Heather Rattray
Heather Tom
Hedy Burress
Helen Ferguson
Helen Mack
Libi Staiger
Lili Taylor
Margaret Illington
Margaret Judson
Margaret Mayo
Margia Dean
Nora Lane
Rondi Reed
Terrylene Sacchetti
