Adeline De Walt Reynolds
Amy Leslie
Ann Morrison
Annabeth Gish
Ashley Tesoro
Iris Meredith
Beatrice Banyard
Beth Marion
Beverley Owen
Bridget Flanery
Georgann Johnson
Lane Sisters
Lois Meredith
Lola Lane
Lori Petty
Louise Carver
Muriel Frances Dana
Pat Bond
Patricia Barry
Sue Lyon
Tanna Frederick
Neva Patterson
Peg Hillias
Peggy Moran
Sarah Utterback
Virginia Christine
Donna Reed
Duane Thompson
Jean Seberg
Julee Cruise
Julie Adams
Julie Sommars
June Carryl
Nedra Volz
Nia Long
Rebecca Toolan
Ruby Wendell
Sharon Farrell
Femi Emiola
Kiersten Warren
Myra Keaton
Constance Moore
Cora Vander Broek
Elmarie Wendel
Fran Allison
Frances Lee
Karen Morley
Linnea Quigley
Marilyn Maxwell
Michelle Monaghan
Michelle Vieth
Claire Dodd
Dana Davis
Danai Gurira
Diane D'Aquila
Jessie Coles Grayson
Joan Freeman
Lara Flynn Boyle
Laura Leighton
M'el Dowd
Mary Beth Hurt
Mary Beth Peil
Tionne Watkins
Hope Emerson
Jane Gilbert
Kate Mulgrew
Katherine Marlowe
Phyllis Somerville
Randi Oakes
Marcia Wallace
Margaret Lindsay
Margarita Fischer
Robin Thede
Priscilla Lane
Rosemary Lane
Terry Farrell
