Aneta Corsaut
Ann Woodward
Annette Bening
Barbara Babcock
Bridget Everett
Caitlynn French
Candy Loving
Cassandra Peterson
Lois Smith
Louise Brooks
Louise LaPlanche
Madge Blake
Maggie Batson
Pat Klous
Tamara Feldman
Taryn Southern
Sarah Lancaster
Shirley Knight
Thelma Hill
Tonya Knight
Vivian Schilling
Vivian Vance
ZaSu Pitts
Doro Merande
Inger Stevens
Maude Fulton
Rebecca Staab
Ruby Dandridge
Sheila Ryan
Fay Tincher
Goldie Colwell
Maxine Alton
Emily Gerdes
Emily Wickersham
Georgia Neese Clark Gray
Grace Benham
Karen Philipp
Kari Wahlgren
Marilyn Maye
Marilyn Schreffler
Marj Dusay
Claire Windsor
Dawn Rochelle Warner
Etta McDaniel
Jayne Houdyshell
Kelie McIver
Kelli McCarty
Rachel deBenedet
Cynthia Sikes Yorkin
Laura Kirk
Laurel Goodwin
Lucinda Dickey
Lucy Payton
Mary Howard de Liagre
Mary McCarty
Tipper Newton
Greta Granstedt
Holley Fain
Jamie Anne Allman
Kathryn Eames
Kirstie Alley
Susie Owens
Suzee Slater
Hattie McDaniel
Hazel Renee
Helen Foster
Helen Talbot
Phyllis Haver
Randy Stuart
Lila Leeds
Marcia Rodd
Marguerite Marsh
Sandra Seacat
Sara Sothern
Vera Miles
