Abby Mavers
Alex Fletcher
Alexandra Pigg
Alicya Eyo
Alison Steadman
Amy Jackson
Andrée Melly
Angela Clarke
Anne Rogers
Annie Russell
Audrey Fildes
Avril Angers
Bernice Stegers
Betty Marsden
Binnie Hale
Madge Tree
Magda Szubanski
Patricia Medina
Sue Jenkins
Sunetra Sarker
Tanya Tate
Pearl Hackney
Peggy Carlisle
Sophie Colquhoun
Vickie Gates
Vida Hope
Dolores Mantez
Doris Lloyd
Jean Alexander
Jennifer Ellison
Judy Bennett
Maureen O'Brien
Rebecca Williams
Sharon Maughan
Deirdre Davis
Kerrie Hayes
Kim Cattrall
Lesley Sharp
May Whitty
Natasha Little
Cathy Tyson
Cornelia Frances
Elisabeth Sladen
Elizabeth Morton
Gia Scala
Gillian Kearney
Gilly Coman
Gladys Ambrose
Lauren McQueen
Lauren O'Neil
Leanne Best
Linda Hooks
Lindsey Fawcett
Malandra Burrows
Maria Rebecca Davison
Marjorie Gaffney
Megan Burns
Michelle Butterly
Stephanie Davis
Charlotte Vandenhoff
Cheryl Murray
Christine Tremarco
Cilla Black
Claire Sweeney
Darci Shaw
Faith Brown
Jodie Comer
Kelly-Marie Stewart
Rachel McDowall
Sam Grey
Crissy Rock
Mandy Colleran
Mary Merrall
Tina Malone
Janet Webb
Kate Fitzgerald
Kate Robbins
Katherine Rose Morley
Katy Carmichael
Liz Gebhardt
Liza Tarbuck
Lizzie Hopley
Mrs. John Wood
Muna Otaru
Helen Ryan
Hilary Crane
Hilary Dwyer
Pauline Fleming
Phina Oruche
Margi Clarke
Rita Tushingham
Priyaa Lal
Rose Leclercq
