Alexandra Stewart
Alexandrine Latendresse
Alexsandra Wright
Amanda Stepto
Amelia Campbell
Anaïs Barbeau-Lavalette
Andrée Lachapelle
Andrée Pelletier
Angela Galuppo
Angela Tong
Anita Ellis
Anke Engelke
Anna Hopkins
Anne-Marie Cadieux
Anne Bedian
Anne Dandurand
Anne Legault
Annie Bovaird
Arden R. Ryshpan
Athole Shearer
Autumn Phillips
Françoise Faucher
Françoise Graton
Irina Terehova
Isabelle Guérard
Isabelle Gélinas
Isabelle Mejias
Johanne-Marie Tremblay
Johanne Harrelle
Barbara Dunkelman
Bella Ouellette
Bianca Beauchamp
Brigitte Bako
Bronwen Mantel
Béatrice Picard
Cali Timmins
Caroline Dhavernas
Casey McKinnon
Geneviève Bujold
Geneviève Néron
Hélène Loiselle
Lorena Gale
Loretta Yu
Louise Marleau
Louise Robey
Madeleine Sherwood
Missy Peregrym
Muriel Millard
Mutsumi Takahashi
Pascale Bussières
Patricia Paquin
Patricia Summersett
Tania Fédor
Tara Spencer-Nairn
Shira Lazar
Sonia Benezra
Sonia Vigneault
Sonya Biddle
Sophie Desmarais
Sophie Lorain
Sophie Nélisse
Stevie Vallance
Yvette Brind'Amour
Chantal Thuy
Domini Blythe
Jen Gould
Jennifer Finnigan
Jennifer Leak
Julie Khaner
Julie Ménard
Julie du Page
Juliette Huot
Nicky Guadagni
Nicole Germain
Nicole Jaffe
Denise Filiatrault
Denise Ho
Denise Morelle
Fanny Mallette
Fifi D'Orsay
Gabrielle Marion-Rivard
Kim Richardson
Kim Yaroshevskaya
Meaghan Rath
Mylène Dinh-Robic
Mélissa Désormeaux-Poulin
Vanessa Lengies
Catherine Bégin
Catherine Disher
Colleen Dewhurst
Corinne Orr
Elisabetta Fantone
Ellen David
Ellen Horn
Emeraude Toubia
Emily Hampshire
Emmanuelle Chriqui
Erica Ehm
Gigi Gorgeous
Ginette Reno
Glenda Braganza
Karen Simpson
Karine Gonthier-Hyndman
Laurence Leboeuf
Laurie Elliott
Layla Alizada
Linda Griffiths
Linda Kash
Linda Sorgini
Lise Roy
Lynda Bellingham
Marianne Farley
Marie-Josée Croze
Marie Brassard
Mariloup Wolfe
Marilyn Lightstone
Marina Orsini
Marjo
Martha Allan
Melissa Altro
Melissa Auf der Maur
Melissa Sue Anderson
Michele Scarabelli
Michelle Rossignol
Michelle Sweeney
Shailene Garnett
Stephanie Martin
Stephanie Morgenstern
Sylvie Moreau
Zoé De Grand Maison
Charlotte Le Bon
Christine Solomon
Christy Chung
Cindy Busby
Claire Brosseau
Clairette Oddera
Dalila Bela
Daniela Akerblom
Danielle Proulx
Daphna Kastner
Darlene Gillespie
Dayle Haddon
Debbie Lynch-White
Deborah Duchêne
Diana Leblanc
Diane Flacks
Fabienne Colas
Flora Martínez
Florence La Badie
Huguette Oligny
Jacinthe Laguë
Jaclyn Linetsky
Jayne Heitmeyer
Jessalyn Gilsig
Jessica Paré
Jinny Jacinto
Jodie Resther
Kelly Kruger
Miquel Brown
Monique Leyrac
Monique Mercure
Monique Miller
Rachelle Lefevre
Cristina Rosato
Lara Amersey
Laura Landauer
Luce Guilbeault
Lucinda Davis
Ludivine Reding
Macha Grenon
Maryse Mizanin
Selma Diamond
Holly Gauthier-Frankel
Honor Ford-Smith
Janette Bertrand
Janine Sutto
Janine Theriault
Jordan Hayes
Kathleen Fee
Kathleen Gati
Kathryn Zenna
Kirsten Bishopric
Nadia G
Nahéma Ricci
Ruta Lee
Sofia Karstens
Sofia Landon Geier
Susan Glover
Suzanne Champagne
Suzanne Clément
Suzanne Lapointe
Suzanne Lebeau
Helen King
Pauline Garon
Pauline Little
Ranee Lee
Renée Claude
Norma Shearer
Princesa Lea
Rose Ouellette
Rosemary Forsyth
Saba Homayoon
Sabine Karsenti
Sarah-Jeanne Labrosse
Sarah Dagenais-Hakim
Véronique Béliveau
