Aarthi Agarwal
Adrienne-Joi Johnson
Aileen Quinn
Ajai Sanders
Alexie Gilmore
Alexis Dziena
Ali Larter
Ali Stroker
Alice White
Alison Becker
Alison Haislip
Allison Hirschlag
Allison Smith
Allison Strong
Alma Hanlon
Amber Skye Noyes
Amy Aquino
Amy Locane
Amy Robinson
Ann Gillespie
Anna Karen Morrow
Anne Bobby
Anne Hathaway
Anne Heche
Antonique Smith
Arielle Holmes
Arielle Jacobs
Ashley Tisdale
Lee Garlington
Lee Meredith
Barbara Bennett
Barbara Goodson
Bea Miller
Bess Rous
Bessie Barriscale
Beth Hall
Beth Leavel
Betsy Blair
Betty Bronson
Betty Walker
Bibi Osterwald
Bitty Schram
Blair Ross
Blanche Chapman
Blaze Berdahl
Brit Morgan
Brittany Murphy
Brooke Shields
Caitlin Sanchez
Cameron Richardson
Camryn Manheim
Candy Moore
Carol Arthur
Cat Bauer
Loretta Swit
Lotus Long
Madeline Brewer
Parvati Melton
Pat Stevens
Sue Ane Langdon
Sumi Haru
Taissa Farmiga
Tammy Blanchard
Tara Reid
Tara Sands
Taral Hicks
Tasha Smith
Tawny Cypress
Tener Brown
Teresa Wright
Meryl Streep
Molly O'Day
Molly Price
Peggy Pope
Penelope Lagos
Quinn Shephard
Sommore
Victoria Vinton
Vida Guerra
Vitamin C
Yvonne Zima
Celeste Holm
Donna Vivino
Dorothy Gibson
Dorothy Young
Jean Acker
Jen Ponton
Jennifer Milmore
Jennifer Taylor
Jennifer Tisdale
Jennifer Welles
Juanita Hall
Judith Light
Julia Udine
Julianne Michelle
Julie Carmen
Mattea Conforti
Nell Craig
Nicol Paone
Nicole Byer
Nina Arianda
Nina Kaczorowski
Nina Romano
Rebecca Metz
Regina Wallace
Roxanne Hart
Sammi Kane Kraft
Shanice Williams
Sheetal Sheth
Shelley Smith
Tracey Ross
Denise Borino-Quinn
Desi Lydic
Gail Boggs
Gail Fisher
Kerri Green
Kerry Bishé
Kia Goodwin
Kiki Haynes
Kristen Connolly
Kristin Malko
Kristina Apgar
Kristine Froseth
Lesley Gore
Leslie Ackerman
Leslie Kritzer
Maxine Stuart
Natalie Schafer
Stacey Dash
Valerie Cruz
Valerie Harper
Vanessa Zima
Whitney Houston
Whoopi Goldberg
Wilda Bennett
Coco Austin
Coleen Sexton
Colleen Flynn
Conor Leslie
Courtney Henggeler
Elena Kampouris
Elisabeth Shue
Elisabeth Welch
Elizabeth Bogush
Elizabeth Gillies
Elizabeth Gorcey
Elizabeth Peña
Elizabeth Whitcraft
Ellen Travolta
Emayatzy Corinealdi
Embeth Davidtz
Emily Bauer
Emily Chang
Emma Bell
Erika Amato
Frances E. Williams
Gerry Johnson
Gillian Vigman
Gloria Hendry
Grace Helbig
Idina Menzel
Karen Duffy
Karen Young
Lauren Cohan
Lea Michele
Linda Bove
Linda Emond
Linda Fiorentino
Linda Gerard
Lindsey McKeon
Lisa Edelstein
Lisa Marie
Lisa Rieffel
Lisa Spoonauer
Lynn Chen
Malinda Williams
Maria Dizzia
Maria Pitillo
Marilyn Ghigliotti
Marla Adams
Martha Byrne
Meg Donnelly
Melissa Bacelar
Melissa Fumero
Melissa Rauch
Melissa Reeves
Michele Hicks
Michelle Buteau
Michelle Thomas
Midori Francis
Pia Zadora
Piper Perabo
Siobhan Fallon Hogan
Toni Ann Gisondi
Toni Kalem
Zoe Saldaña
Chelsea Handler
Cheryl Chase
Christina Ricci
Christine Andreas
Claudia McNeil
Dagmara Domińczyk
Daisy Tahan
Dale Soules
Dana Eskelson
Dana Gaier
Dana Reeve
Danielle Pinnock
Danielle Rose Russell
Danielle Spencer
Danika Yarosh
De'Adre Aziza
Deak Evgenikos
Deanna Russo
Debbie Harry
Debby Boone
Deborah Rush
Debralee Scott
Diana Lewis
Diane Guerrero
Dyanne Thorne
Edie Adams
Elaine Bromka
Elaine Stewart
Ethel Wales
Eunice Cho
Evelyn Ward
Faire Binney
Faith Evans
Fiona
Flora Parker DeHaven
Florencia Lozano
Jacklyn Zeman
Jacqueline Brookes
Jacqueline Courtney
Jacqueline Mazarella
Jessica Hecht
Jessica St. Clair
Jessica Vosk
Jessie Ward
Jillian Armenante
Jillian Morgese
JoJo
Joan Bennett
Joan Carroll
Joan Caulfield
Joanna Cassidy
Jodi Lyn O'Keefe
Jodi Miller
Kelly-Anne Lyons
Kelly Bishop
Kelly Jo Minter
Kelly Ripa
Kelsey Fowler
Mindy Sterling
Mira Sorvino
Monica Keena
Monique Samuels
Rachael Hip-Flores
Rachel Alana Handler
Rachel Zegler
Sally O'Neil
The Millen Sisters
Cristin Milioti
Largo Woodruff
Laura Benanti
Laura Dreyfuss
Laura Nativo
Laura Prepon
Laura San Giacomo
Martina Deignan
Mary Birdsong
Mary Jo Keenen
Mary Kay Adams
Mary McCormack
Hallie Eisenberg
Holly Taylor
Hope Davis
Jamie Donnelly
Jamie Sorrentini
Jane Anderson
Jane Krakowski
Jane Milmore
Janeane Garofalo
Janice Kent
Kate French
Kate Jennings Grant
Kate Micucci
Katherine Shindle
Kathleen Crowley
Kathleen Noone
Katie Dippold
Katie Sagona
Katrina Bowden
Katrina Law
Kirsten Dunst
Liz Katz
Liza Weil
Nadia Ali
Nancy Hower
Naomi Stevens
Naturi Naughton
Ruth Donnelly
Ruth White
Sofia Black-D'Elia
Sofie Zamchick
Susan Misner
Susan Morrow
Susan Sarandon
Suzanne DeLaurentiis
Suzy Parker
Harley Quinn Smith
Haviland Morris
Heather McComb
Heidi Bohay
Hillary Hawkins
J. J. North
Patsy Garrett
