Aileen Quinn
Aimee Mullins
Alexandra Chando
Alexis Knapp
Alexondra Lee
Alice Gale
Allison McAtee
Althea Henley
Amanda Seyfried
Amber Lee Ettinger
Amy Steel
Angela Jones
Angela Trimbur
Ann McCrea
Anne Jackson
Anne Sargent
Audrey Wasilewski
Henrietta Valor
Irene Ng
Isadore Rush
Lenita Lane
Bailey Noble
Beth Behrs
Betty Bouton
Beverly Tyler
Britta Phillips
Brittany Furlan
Camera Bartolotta
Carroll Baker
Lorna Raver
Madison Ferris
Pat Crowley
Sujata Day
Tamara Tunie
Tamie Sheffield
Tari Signor
Monica Calhoun
Olive Thomas
Peggy Maley
Riki Lindhome
Sarah Kozer
Thena Jasper
Victoria Pedretti
Dorothy Christy
Dorothy Hale
Dorothy Page
Jeanne Clemson
Jenn McAllister
Jennifer Gareis
Jenny O'Hara
Joyce Ebert
Julianna McCarthy
Julie Craig
Rebecca Wisocky
Rei Hance
Sharon Stone
Sheetal Sheth
Sheila Darcy
Sheila Kelley
Tien Tran
Dee Roscioli
Demi Moore
Kenya D. Williamson
Krista Errickson
Kristen Alderson
Kristen Wiig
Kristin Minter
Krysten Ritter
Leslie Parrish
Natalia Livingston
Natalie Raitano
Staci Keanan
Elise Cavanna
Elizabeth Marvel
Ellen Albertini Dow
Emme Rylan
Erika Alexander
Erin Cottrell
Fran Brill
Gertrude Selby
Gloria Holden
Gloria Jean
Lauren Holly
Lauren Tewes
Linda Jo Miller
Lisa Eichhorn
Lisa Kirk
Maria Bello
Marie Doro
Marie Quillan
Marion Lorne
Marta Golden
Meg Foster
Megan Gallagher
Melanie Field
Michaela Conlin
Pia Reyes
Sian Barbara Allen
Cheri Oteri
Chloe Cherry
Chris Anthony
Christina Hart
Christine Estabrook
Christine Taylor
Christy Baron
Clamma Dale
Claudette Nevins
Da'Vine Joy Randolph
Darlanne Fluegel
Edie Adams
Eileen Letchworth
Evelyn Nesbit
Ja'Net DuBois
Jackie McKeever
Jayne Marie Mansfield
Jill O'Hara
Jillian Murray
Joan Chandler
Kellee Stewart
Monica Horan
Monica Lee Gradischek
Sally Cairns
Tyra Vaughn
Cynthia Rothrock
Lara Jill Miller
Larri Thomas
Laura Breckenridge
Lucy Lee Flippin
Mary Boland
Mary Carr
Mary McDonnell
Marylouise Burke
Winter Ave Zoli
Gretchen Egolf
Halo Meadows
Jan Shepard
Jana Robbins
Jane Peyton
Jane Wolfe
Janet Blair
Kate McNeil
Kate Micucci
Katelyn Pippy
Kathryn Crawford
Kathryn Rossetter
Kathryn Walker
Kay Laurell
Kay Williams
Kitty McHugh
Liza Weil
Lizabeth Scott
Nancy Kulp
Rya Kihlstedt
Suzanne Westenhoefer
Harley Jane Kozak
Heather Lind
Hedda Hopper
Helen Gilbert
Helen Howard
Helen Hughes
Helen Shipman
J.A. Steel
Patti LaBelle
Pauline Moore
Pauline Neff
Peppermint
Margaret Mason
Onata Aprile
Paige Spara
Pamela Ribon
Robyn Griggs
Ronne Troup
Rosanna Huffman
Sandra Knight
Sandy Fox
Tricia Dickson
Wendy Fulton
