Abbi Jacobson
Addison Timlin
Amber Rose
Angel Desai
Anita Hendrie
Anna Rosemond
Anne Francine
Audrey Chapman
Audrey Landers
Fritzi Burr
Henrietta Baker Chanfrau
Imogene Coca
Betty Garde
Billie Seward
Blossom Rock
Blythe Danner
Bonnie Scott
Bre-Z
Carmen Mathews
Carol Lynn Maillard
Cass Daley
Gee Gee James
Grayson Hall
Lady Tsen Mei
Lois Hamilton
Mae Clarke
Sue Ball
Sue Randall
Tamara Jenkins
Tanya Berezin
Terri Doty
Merrie Spaeth
Molly Ephraim
Monica Calhoun
Olive Wyndham
Ollie Kirkby
Quinta Brunson
Sarah Steele
Sonya Smith
Toukie Smith
Vickilyn Reynolds
Victoria Cartagena
Victory Bateman
Vivian Rich
Vivienne Segal
Celia Logan
Dolores Donlon
Donna Butterworth
Dorothea Wolbert
Dorothy Dare
Dorothy Kelly
Draya Michele
Jean Ruth
Jean Sothern
Jean Vander Pyl
Jeanette MacDonald
Jennie Eisenhower
Jowharah Jones
Judy Landers
Mildred Davis
Nellie Casman
Rebecca Creskoff
Rebecca Welles
Deirdre Quinn
Fanny Cogan
Gabrielle Lazure
Gail Kane
Kim Delaney
Mia Park
Eleanor Boardman
Eleanor Caines
Elida Morris
Eliza Logan
Elizabeth Crocker Bowers
Elizabeth Russell
Ellen Corby
Emmaline Henry
Erica Rivera
Erika Alexander
Erin Krakow
Frances Dade
Georgiana Drew
Gertrude Selby
Grace Kelly
Ida Waterman
Karen Ingenthron
Karen Malina White
Laurie Beechman
Linda Fiorentino
Lisa Peluso
Lisa Regina
Marian Swayne
Marie Quillan
Marie Wainwright
Marion Martin
Marion Ramsey
Marki Bey
Melanie Field
Melanie Mayron
Melissa Fitzgerald
Stephanie Gatschet
Sydney Park
Sylvia Kauders
Toni Basil
Charlotte Greenwood
Cheri Oteri
Christine Wetherill Stevenson
Cleo Desmond
Deborah Twiss
Dylan Gelula
Edna Mayo
Eileen McDonough
Eileen O'Neill
Elaine Hammerstein
Elaine May
Ethel Barrymore
Ethelind Terry
Eve
Florence Moore
Florence Reed
Ja'Net DuBois
Jackie Saunders
Jessica Barth
Jill Scott
Joan McCracken
Kelly Monaco
Reagan Gomez-Preston
Sally Kirkland
Laura Nelson Hall
Mabel Ballin
Mabel Rowland
Mary Boland
Mary Testa
Mary Warren
Tina Fey
Holland Taylor
Holly Robinson Peete
Jane Daly
Jane Winton
Janet Gaynor
Kat Dennings
Kate Flannery
Kate McNeil
Katherine Moennig
Kathryn Walker
Katie Walder
Katie Wright
Kitty Blanchard
Kitty Chen
Liz Larsen
Nafessa Williams
Nancy Hendrickson
Nancy Walker
Naz Edwards
Ruth Donnelly
Susan Denin
Susan Heyward
Susan Richardson
Hari Nef
Hazel Shermet
Helen Dunbar
Helen Howard
Helen Raymond
J. J. North
Phyllis Hyman
Lillian Harmer
Margaret Dale
Margaret Lawrence
Margaret Whitton
Paige Davis
Robin Stille
Rhoda Gemignani
Rose Eytinge
Rose Hemingway
Sandy Martin
Veronica Hamel
