Ada Colangeli
Adriana Russo
Aitana Sánchez-Gijón
Alessandra Celi
Alessandra Martines
Alessandra Mastronardi
Alessandra Mussolini
Alessandra Panaro
Alessia Amendola
Alessia Marcuzzi
Alice Pagani
Alice Teghil
Allison Miller
Ambra Angiolini
Andreina Pagnani
Angela Goodwin
Anita Durante
Anita Pallenberg
Anna Campori
Anna Demetrio
Anna Foglietta
Anna Galiena
Anna Magnani
Anna Maria Ferrero
Anna Mazzamauro
Anna Rita Del Piano
Anna Valle
Antonella Attili
Antonella Interlenghi
Antonella Ponziani
Antonella Rinaldi
Armenia Balducci
Asia Argento
Atossa Leoni
Fulvia Mammi
Ira von Fürstenberg
Irene Cefaro
Irene Ferri
Isabella Biagini
Isabella Rossellini
Lia Amanda
Barbara Chichiarelli
Barbara De Rossi
Barbara Livi
Beatrice Mancini
Benedetta Porcaroli
Benedicta Boccoli
Bice Valerian
Bice Valori
Brigitta Boccoli
Carla Mancini
Carlotta Natoli
Carmen Boni
Carolina Benvenga
Carolina Crescentini
Graziella Granata
Lola Pagnani
Lollipop
Lorella Cuccarini
Lorenza Guerrieri
Lorenza Indovina
Mirella D'Angelo
Miriam Giovanelli
Miriam di San Servolo
Mita Medici
Tatiana Farnese
Olga Capri
Sonia Viviani
Sophia Loren
Violante Placido
Virginia Raffaele
Vittoria Febbi
Yvonne Sciò
Cecilia Dazzi
Domitilla D'Amico
Domiziana Giordano
Jenny Tamburi
Milena Miconi
Milena Vukotic
Nicole Murgia
Nicoletta Romanoff
Nieves Navarro
Regina Orioli
Denise Faro
Federica De Bortoli
Federica Nargi
Gabriella Pallotta
Gaia Germani
Galatea Ranzi
Leonora Ruffo
Letizia Ciampa
Letícia Román
Maya Sansa
Micaela Esdra
Micaela Ramazzotti
Myriam Catania
Natasha Hovey
Valentina Cervi
Valeria Ciangottini
Valeria Milillo
Valeria Valeri
Vanessa Hessler
Wanda Osiris
Caterina Guzzanti
Elena Fabrizi
Elena Varzi
Eleonora De Angelis
Eleonora Giorgi
Eleonora Vallone
Eleonora Vargas
Elisa Mainardi
Elisabetta Dessy
Elisabetta Rocchetti
Eloisa Cianni
Elvira Betrone
Emanuela Rei
Emanuela Rossi
Enrica Maria Modugno
Franca Bettoia
Franca Faldini
Franca Marzi
Franca Scagnetti
Franca Tamantini
Francesca D'Aloja
Francesca De Sapio
Francesca Dellera
Francesca Marciano
Francesca Nunzi
Francesca Valtorta
Gioconda Vessichelli
Giovanna Mezzogiorno
Giovanna Ralli
Giulia Bevilacqua
Giulia Boschi
Giulia Elettra Gorietti
Giulia Michelini
Giulietta Masina
Gloria Radulescu
Gorella Gori
Ilaria Latini
Lea Massari
Leda Gloria
Leda Gys
Lina Marengo
Lisa Mazzotti
Lydia Simoneschi
Malisa Longo
Maria Donati
Maria Fiore
Maria Jacobini
Maria Michi
Maria Pia Di Meo
Maria Rosaria Omaggio
Mariacarla Boscono
Marilù Tolo
Marisa Belli
Marisa Merlini
Marisa Vernati
Michela Miti
Michela Quattrociocche
Pina Piovani
Silvana Mangano
Silvana Pampanini
Silvia Dionisio
Simona Borioni
Simona Cavallari
Simona Izzo
Simona Marchini
Simonetta Stefanelli
Chiara Colizzi
Chiara Gensini
Chiara Mastalli
Cinzia De Carolis
Cinzia Leone
Claudia Gerini
Claudia Koll
Claudia Pandolfi
Claudia Razzi
Daniela Bianchi
Diana Dei
Diomira Jacobini
Euridice Axen
Eva Russo
Fabiana Udenio
Fiorella Betti
Flaminia Jandolo
Flavia Vento
Flora Carabella
Jasmine Trinca
Milly Vitale
Mimì Aylmer
Monica Guerritore
Monica Vitti
Monica Ward
Cristiana Capotondi
Cristina Grado
Kally Sambucini
Laura Boccanera
Laura Latini
Luciana Angiolillo
Luciana Gilli
Luciana Paluzzi
Lucrezia Lante della Rovere
Ludovica Modugno
Selvaggia Quattrini
Greta Scarano
Jone Morino
Livia De Paolis
Nancy Brilli
Susanna Javicoli
Sveva Alviti
Patrizia Viotti
Patrizia Webley
Pauline Polaire
Perla Liberatori
Philippine Leroy-Beaulieu
Lianella Carell
Licinia Lentini
Lilia Landi
Lilia Silvi
Liliana de Curtis
Lilla Brignone
Margherita Buy
Margie Kinsky
Margot Sikabonyi
Ornella Muti
Paola Cortellesi
Paola Minaccioni
Paola Quattrini
Paola Senatore
Rita Savagnone
Ria De Simone
Romina Mondello
Rosalinda Celentano
Rosalinda Galli
Rossana Di Lorenzo
Rossella Como
Rossella Falk
Sabina Guzzanti
Sabrina Ferilli
Sabrina Impacciatore
Sabrina Siani
Vera Gemma
Veronica De Laurentiis
Veronica Logan
