Ally Walker
Audrey Whitby
Leigh Snowden
Bek Nelson
Betty Jaynes
Brandee Evans
Brooklyn Sudano
Calpernia Addams
Cara Cunningham
Carol Mayo Jenkins
Lolo
Lori Petty
Mageina Tovah
Patricia Neal
Olivia Holt
Polly Bergen
Sondra Locke
Virginia Martin
Dixie Carter
Dixie Lee
Dolly Parton
Dorothy Jordan
Dorothy Patten
Gwen Welles
Julie Ann Emery
Maude Fealy
Mildred Boyd
Reese Witherspoon
Shannen Doherty
Delma Byron
Kym Whitley
Whitney Dylan
Coco Jones
Constance Shulman
Elizabeth Patterson
Emily Grace Reaves
Grace Elliston
Grace Moore
Linda Carlson
Linda Thompson
Marjorie Weaver
Megan Fox
Melanie Hutsell
Stella Stevens
Sydney Penny
Cherry Jones
Christina Hendricks
Clare Grant
Dale Dickey
Elaine Hendrix
Jayma Mays
Jill Harris
Jo Helton
Jobyna Ralston
Montego Glover
Rachel Boston
Rachel DiPillo
Sally Crute
Cynthia Rhodes
Lara Parker
Lark Voorhies
Lucille La Verne
Lucy Webb
Tina Turner
Jamie Marchi
Jane Wagner
Katie J. Stone
Helen Wood
Pauley Perrette
Lillian Randolph
Park Overall
