Aaryn Doyle
Abena Malika
Aimee Chan
Aislinn Paul
Alberta Watson
Alex Paxton-Beesley
Alexandra Beaton
Alexandra Castillo
Alexandra Ordolis
Alisha Morrison
Alison Pill
Alison Sealy-Smith
Allegra Denton
Amanda Tapping
Amit Farkash
Amy Sky
Ana Golja
Anais Granofsky
Anastasia Lin
Anastasia Phillips
Andrea Libman
Andrea Martin
Andrea Morris
Ann Pirvu
Anna Chappell
Anne-Marie Martin
Anne Helm
Annick Obonsawin
Annie Clark
Anusree Roy
Araby Lockhart
Arlene Harris
Armeena Khan
Arsinée Khanjian
Ashley Diana Morris
Asia Vieira
Henriette Ivanans
Isabelle Lucas
Leyla Milani
Ayesha Curry
Barbara Chilcott
Barbara Hamilton
Barbara Mamabolo
Barbara March
Beatrice Lillie
Billie Mae Richards
Bree Williamson
Brenda Kamino
Britne Oldford
Brittany Allen
Brooke D'Orsay
Brooke Nevin
Bryn McAuley
Camilla Scott
Camille Sullivan
Candy Chang
Cara Pifko
Carly Foulkes
Carmen Silvera
Caroline Azar
Cassie Steele
Catalina Yue
Genelle Williams
Lois Bromfield
Lois Maxwell
Lottie Pickford
Miranda Kwok
Miranda de Pencier
Miriam Wolfe
Sugar Lyn Beard
Supinder Wraich
Tajja Isen
Tamara Hope
Tamara Podemski
Tamara Taylor
Tanya Allen
Tara Strong
Tasya Teles
Tenika Davis
Teresa Stratas
Teri Austin
Terri Hanauer
Terri Hawkes
Melleny Melody
Melyssa Ford
Riele Downs
Sarah Polley
Sarah Power
Sasha Clements
Saskia Garel
Shiva Negar
Soo Garay
Sophie Bennett
Torri Webster
Vinessa Antoine
Vivien Endicott-Douglas
Divine Brown
Dora Mavor Moore
Dorothy A. Atabong
Inga Cadranel
Ingrid Veninger
Jean Yoon
Jeananne Goossen
Jeanmarie Simpson
Jeannie Chan
Jemeni
Jenn Proske
Jennifer Dale
Jennifer Irwin
Jennifer Podemski
Jennifer Spence
Jenny Cooper
Joy Fielding
Judi Richards
Julia Chantrey
Jully Black
June Storey
Maud Allan
Ngozi Paul
Nicole Stamp
Nicole Stoffman
Nicole de Boer
Nicolette Goulet
Nikki Benz
Nina Dobrev
Nissae Isen
Rebecca Caine
Samantha Bee
Samantha Weinstein
Seana McKenna
Shannon Farnon
Sharon Acker
Sharon Lewis
Sheila McCarthy
Shenae Grimes
Tracy Wright
Deragh Campbell
Fannie Kauffman
Fefe Dobson
G. B. Jones
Gabriella Sundar Singh
Gail Kim
Keshia Chanté
Kiana Madeira
Kim Renders
Kim Richardson
Kim Roberts
Kim Schraner
Kimberly Huie
Kristen Thomson
Kristin Fairlie
Kristin Lehman
Lesleh Donaldson
Lexa Doig
Mia Kirshner
Natasha Negovanlis
Stacey Farber
Stacie Mistysyn
Valeria Vereau
Valerie Buhagiar
Valri Bromfield
Caterina Scorsone
Catherine O'Hara
Catherine Shirriff
Cosette Lee
Cree Summer
Elena Semikina
Eleonora Dimakos
Eliana Jones
Elisabeth Brooks
Ella Ballentine
Ellen Dubin
Ellen Wong
Ellora Patnaik
Elyse Willems
Emilie-Claire Barlow
Emma Taylor-Isherwood
Erica Luttrell
Erin Mathews
Erin Shields
Gloria Reuben
Grace Darmond
Karen Bertelsen
Karen Hines
Karena Evans
Laurene Landon
Laurie Holden
Laurieann Gibson
Laysla De Oliveira
Leah Pinsent
Leah Renee Cudmore
Linda Ballantyne
Linda Thorson
Lisa Jakub
Lisa Lougheed
Lisa Ray
Lisa Wegner
Lisa Yamanaka
Lyndie Greenwood
Lynne Griffin
Malin Akerman
Marie Wilson
Marni Thompson
Marnie McPhail
Megan Fahlenbock
Megan Follows
Melanie Marden
Melanie Nicholls-King
Melissa DiMarco
Michelle Giroux
Michie Mee
Shadia Simmons
Shakura S'Aida
Siobhan Murphy
Stella Farentino
Stephanie Martin
Sylvia Lennick
Zoie Palmer
Charlotte Arnold
Charlotte Hegele
Charlotte Hennessey
Charlotte Sullivan
Charmion King
Chelsea Clark
Chloe Rose
Christina Cox
Christine Brubaker
Christine Harnos
Christine Kuo
Cindy Dolenc
Cindy Valentine
Claire Stansfield
Clara Morris
Claudette Mink
Claudja Barry
Dalbello
Deborah Cox
Debra McGrath
Diana Van der Vlis
Diana Weston
Dianne Heatherington
Dinah Christie
Jackie Appiah
Jackie Richardson
Jaclyn A. Smith
Jacqueline Byers
Jasmine Richards
Jayne Eastwood
Jessica Steen
Millie Davis
Monika Schnarre
Mouna Traoré
Rachael Crawford
Rachel Blanchard
Rachel Luttrell
Rachel McAdams
Rachel Skarsten
Reagan Pasternak
Sally Taylor-Isherwood
Cristine Prosperi
Cynthia Dale
Lara Amersey
Laura Bertram
Laura Jordan
Laura Vandervoort
Luciana Carro
M. J. Kang
Ma-Anne Dionisio
Mabel Barrison
Mary Jo Eustace
Mary Margaret O'Hara
Mary Pickford
Maryke Hendrikse
Oyin Oladejo
Selena Lee
Tinsel Korey
Toby Robins
Greta Onieogou
Hannah Endicott-Douglas
Hannah Gross
Hollis McLaren
Holly Deveaux
Holly Lewis
Jamillah Ross
Janet-Laine Green
Janet Chow
Jordan Claire Robbins
Jordan Todosey
Kat Germain
Kat Sandler
Kate Hewlett
Kate Trotter
Katherine Barrell
Katheryn Winnick
Kathleen Barr
Kathy Greenwood
Katie Boland
Katie Griffin
Kay Callard
Kay Hawtrey
Nadine van der Velde
Nancy Dolman
Naomi Snieckus
Nazneen Contractor
Rukiya Bernard
Ruth Marshall
Ruth Springford
Susan Haskell
Susan Hogan
Susanne Benton
Suzanne Lloyd
Tedde Moore
Ushna Shah
Heather Menzies
Peyton Kennedy
Phyllis Marshall
Ramona Milano
Ramona Pringle
Liane Balaban
Liisa Repo-Martell
Lili Haydn
Lilly Singh
Marci Ien
Margaret Bannerman
Margaret Chung
Renee Percy
Roberta Maxwell
Nonnie Griffin
Saara Chaudry
Sabrina Jalees
Sandrine Holt
Sara Ballingall
Sara Waisglass
Sarah Carter
Sarah Gadon
Terry Tweed
