AC Bonifacio
Agam Darshi
Alaina Burnett
Alaina Huffman
Alexandra Carter
Alexandria Maillot
Alexia Fast
Alisha Newton
Alison Thornton
Aliza Vellani
Andrea Libman
Angela Fong
Ann Rutherford
Anna Cathcart
Anna Cummer
April Telek
Ashleigh Ball
Heléne Yorke
Joely Collins
Leela Savasta
Babz Chula
Balinder Johal
Barbara Kelly
Barbara Parkins
Becky Johnson
Bernice Liu
Beverley Cooper
Britt Irvin
Britt McKillip
Camille Sullivan
Carat Cheung
Carly McKillip
Carly Pope
Carmen Aguirre
Carolyn Jones
Carrie Genzel
Geneva Locke
Hélène Joy
Lori Chow
Mackenzie Davis
Maddie Phillips
Madeleine Arthur
Magda Apanowicz
Patricia Drake
Suleka Mathew
Tanaya Beatty
Tanja Reichert
Taylor Russell
Mercedes McNab
Moira Walley-Beckett
Moneca Stori
Peggy Cartwright
Penelope Corrin
Sarah Mutch
Sarah Strange
Sonija Kwok
Sonja Bennett
Sook-Yin Lee
Tabitha St. Germain
Thea Gill
Vicky Huang
Victoria Hopper
Vivian Chow
Willow Johnson
Yvette Lu
Yvonne De Carlo
Chantal Strand
Charie Van Dyke
Charlene Aleck
Dorothy Stratten
Jenn Forgie
Jennifer Baxter
Jennifer Robertson
Joyce Cheng
Jud Tylor
June Havoc
Matreya Fedor
Neeru Bajwa
Nicki Clyne
Nicole Bouma
Nicole Muñoz
Nikohl Boosheri
Nisha Ganatra
Rebecca Shoichet
Rubina Bajwa
Shannon Chan-Kent
Sharon Taylor
Shelagh McLeod
Tiera Skovbye
Gabrielle Miller
Kimberley Joseph
Kristin Kreuk
Kristin Lehman
Mia Uyeda
Natalie Hall
Natasha Calis
Valerie Chow
Waneta Storms
Catherine Lough Haggquist
Cathy Weseluck
Cobie Smulders
Colleen Rennison
Columpa Bobb
Conchita Campbell
Cory Lee
Eliza Sam
Elysia Rotaru
Emilija Baranac
Emily Bett Rickards
Emily Hirst
Emily Perkins
Emily Tennant
Emmanuelle Vaugier
Enuka Okuma
Erica Cerra
Georgia Craig
Gina Chiarelli
Grace Chan
Grace Park
Justine Priestley
Karena Lam
Lauren Lee Smith
Leah Cairns
Leanne Li
Lini Evans
Lisa Ann Beley
Lisa Schrage
Lisa Vultaggio
Luisa D'Oliveira
Lydia Shum
Lynda Boyd
Mairlyn Smith
Megan Leitch
Melanie Papalia
Melissa Roxburgh
Michelle Creber
Michelle Meyrink
Stefanie von Pfetten
Stephanie Bennett
Chasty Ballesteros
Chela Matthison
Chelah Horsdal
Chelan Simmons
Chelsea Hobbs
Chiara Zanni
Christie Laing
Christina Schild
Daniella Evangelista
Debbie Rochon
Deborah Kara Unger
Diana Bang
Diana Kaarina
Ecstasia Sanders
Fiona Loewi
Jacqueline Wong
Jade Kwan
Jessica Lowndes
Jessica Lucas
Jill Teed
Jody Thompson
Kazumi Evans
Kelly McCormack
Kelly Sheridan
Mimi Hines
Miquel Brown
Monica Louwerens
Rachel Cronin
Rachel Roberts
Crystal Lowe
Cynthia Stevenson
Kacey Rohl
Laura Bertram
Luciana Carro
Mary Livingstone
Maryke Hendrikse
Toby Leung
Hannah Simone
Jane McGregor
Katharine Isabelle
Katherine DeMille
Kathleen Barr
Katie Stuart
Katya Virshilas
Kirsten Prout
Nancy Robertson
Tegan Moss
Hayley Law
Hayley Sales
Heather McEwen
Margaret Trudeau
Paloma Kwiatkowski
Rekha Sharma
Robbi Chong
Noot Seear
Norma MacMillan
Roni Jonah
Saffron Henderson
Sahar Biniaz
Sarah Desjardins
Sarah Edmondson
Sarah Goldberg
Sarah Jeffery
Teryl Rothery
