Amy James-Kelly
Angela Crow
Anita Carey
Anna Maxwell Martin
Annabel Scholey
Avril Elgar
Lena Headey
Lena Kaur
Barbara Young
Beverley Callard
Bryony Afferson
Cara Theobold
Carolyn Pickles
Lolita Chakrabarti
Madge Carr Cook
Muriel Aked
Pat Paterson
Mollie Sugden
Monica Dolan
Penelope Wilton
Sonia Dresdel
Sophie Lowe
Thelma Barlow
Victoria O'Keefe
Yvonne Buckingham
Jean Fergusson
Jennifer Jayne
Joy Brook
Judy Parfitt
Judy Wilson
Julia Mallam
Maureen Lipman
Nichola Burley
Nikki Patel
Rebecca Callard
Rebecca Storm
Ruby Barker
Tracy Brabin
Faye Marsay
Gail Harris
Eleanor Tomlinson
Elizabeth Bennett
Elma Soiron
Emma Fielding
Emma Williams
Georgie Henley
Lisa Kay
Lynn Dalby
Lynne Perrie
Maimie McCoy
Marie Studholme
Marlene Sidaway
Michelle Hardwick
Stephanie Turner
Zöe Lucker
Chloe Newsome
Christina Pickles
Claire Cooper
Danielle McCormack
Danielle Steers
Deborah Makepeace
Diana Rigg
Eden Taylor-Draper
Elaine Glover
Jacqueline Macaulay
Jessica Baglow
Jessica Barden
Jessica Gunning
Joanne Froggatt
Jodie Whittaker
Kazia Pelka
Kelly Harrison
Rachael Wooding
Rachel Leskovac
Sally Carman
Sally Grace
Laura Carter
Laura White
Mary Millar
Hannah John-Kamen
Jane Cameron
Janet Davies
Janet Dibley
Katharine Barker
Katherine Kelly
Kathryn Pogson
Liz White
Naomi Jacob
Susan Littler
Heather Peace
Helen Baxendale
Helen Worth
Helene Palmer
Paula Lane
Lila Kaye
Margo Gunn
Rosemarie Ford
Sandra Dorne
Tryphosa Jane Wallis
Verity Rushworth
Veronica Carlson
Wendy Richard
