Adelle Lutz
Alice Greczyn
Ally Maki
Ami Haruna
Amy Hill
Amy Okuda
Amy Rider
Ann Harada
Anna Akana
Anzu Lawson
Ariane Koizumi
Asia Carrera
Jolene Purdy
Aya Sumika
Brittany Ishibashi
Candace Kita
Carrie Ann Inaba
Catalina Yue
Lotus Long
Louisa Krause
Miya Cech
Miyoshi Umeki
Mizuo Peck
Pat Suzuki
Takayo Fischer
Tamlyn Tomita
Teri Harrison
Merle Dandridge
Shizuko Hoshi
Shuko Akune
Sono Osato
Sophie Oda
Toshia Mori
Yuriko
Charlet Chung
Jeanne Sakata
Jenny Shimizu
Jenny Yokobori
June Angela
Miiko Taka
Miki Ishikawa
Miko Mayama
Nichole Sakura
Nina Makino
Reiko Aylesworth
Reiko Sato
Kim Miyori
Kimiko Glenn
Kimora Lee Simmons
Maya Erskine
Mia Korf
Stacy Kamano
Elle McLemore
Ellen Tamaki
Emily Kuroda
Erika Ishii
Grace Rolek
Karen Fukuhara
Karen Maruyama
Lyrica Okano
Marie Matiko
Marisa Tayui
Meiling Melançon
Michi Kobi
Midori Francis
Sierra Katow
China Chow
Christina Kokubo
Daniella Alonso
Devon Aoki
Diane Mizota
Ethel Azama
Jodi Long
Keiko Agena
Minae Noji
Rachel Factor
Sally Amaki
Kaliko Kauahi
Janice Kawaye
Kaylee Bryant
Kiralee Hayashi
Suzy Nakamura
Hayley Kiyoko
Patti Yasutake
Lily Mariye
Onata Aprile
Ren Hanami
Romi Dames
Saemi Nakamura
Sara Tanaka
Trina Nishimura
Tsuru Aoki
