Abby McEnany
Abigail Savage
Agnes Morgan
Alexandra Hedison
Amanda Bearse
Amandla Stenberg
Amy Lamé
Amy York Rubin
Ariela Barer
Leisha Hailey
Lena Waithe
AzMarie Livingston
Beth Ditto
Beth Malone
Brittani Nichols
Bryana Salaz
Cameron Esposito
Carmelita Tropicana
Carol Leifer
Carolyn Gage
Lois Bromfield
Lois Weaver
Maggie Cassella
Pat Bond
Punkie Johnson
Tammy Lynn Michaels
Meredith Baxter
Moms Mabley
Peggy Shaw
Sasha Lane
Wilna Hervey
Dorothy Patten
Dot-Marie Jones
Ingrid Nilsen
Jenn Colella
Jenny Shimizu
Judy Gold
Julie Goldman
Maude Adams
Maureen Garrett
Nikki Blonsky
Scout Durwood
Shannon Beveridge
Sheila Kuehl
Shelly Mars
Sherry Glaser
Tien Tran
Tig Notaro
Denny Dillon
Felicia Pearson
Kimberly Amato
Kristin Key
Kristy McNichol
Wanda Sykes
Cathy DeBuono
Elizabeth Marrero
Ellen DeGeneres
Ellen Dinalo Williams
Emily Rios
Emma Willmann
Erika Scheimer
Fortune Feimster
Fran Lebowitz
Geri Jewell
Grace Darmond
Lea DeLaria
Leanna Creel
Linda Gerard
Linda Wallem
Lisa Kron
Maia Brewton
Maile Flanagan
Marsha Warfield
Michelle Ehlen
Michelle Paradise
Michelle Wolff
Shalita Grant
Stephanie Miller
Sydnee Washington
Sydney Magruder Washington
Charlotte Cushman
Cherry Jones
Cheryl Dunye
Clea DuVall
Dale Soules
Danitra Vance
Diona Reasonover
Diora Baird
Eva Le Gallienne
Jasika Nicole
Jasmin Savoy Brown
Jessica Darrow
Jill Bennett
Joanna Johnson
Keala Kennelly
Kelly McGillis
Rachel Maddow
Rahne Jones
Raven-Symoné
Sally Dryer
Mary Chieffo
Guinevere Turner
Hannah Hart
Holland Taylor
Holly Twyford
Jane Lynch
Jane Wagner
Jonica T. Gibbs
Kate Clinton
Kate Fleming
Kate McKinnon
Katharine Cornell
Katherine Moennig
Katy O'Brian
Nancy Kulp
Susan Blu
Susan Flannery
Suzanne Westenhoefer
Hayley Kiyoko
Heather Matarazzo
Patsy Kelly
Paula Pell
Pepi Lederer
Lily Tomlin
Marga Gomez
Margaret Lindsay
Margaret Webster
Pamela Sneed
Reno
Portia de Rossi
Rosie O'Donnell
Sara Gilbert
Tucky Williams
Vicci Martinez
