Adrienne Pickering
Aimee Horne
Aishveryaa Nidhi
Alexandra Schepisi
Alison Bell
Alison Jiear
Alyssa McClelland
Amy Edwards
Amy Mathews
Andrea Demetriades
Angie Milliken
Anita Louise Combe
Anna Bamford
Anna McGahan
Anna Skellern
Anne Charleston
Anne Looby
Anne Phelan
Anne Scott-Pendlebury
Annie Byron
Arianwen Parkes-Lockwood
Asher Keddie
Freya Stafford
Freya Tingley
Isabella Dunwill
Leeanna Walsman
Babs McMillan
Barbara Angell
Basia A'Hern
Belinda Giblin
Beryl Bryant
Bethany Lee
Bettina Welch
Betty Bobbitt
Betty Lucas
Betty McDowall
Bojana Novakovic
Bonnie Anderson
Bridget Walters
Brooke Satchwell
Bunney Brooke
Carol Burns
Carol Raye
Carole Skinner
Caroline Brazier
Caroline McKenzie
Caroline O'Connor
Genevieve Mooy
Geneviève Picot
Lois Ramsey
Lorraine Bayly
Louise Siversen
Madge Ryan
Madge Titheradge
Mae Busch
Mae Dahlberg
Maggie Fitzgibbon
Maggie Kirkpatrick
Maggie Millar
Maggie Moore
Maggie Oliver
Miranda Otto
Miranda Tapsell
Muriel Steinbeck
Pat McDonald
Patricia Conolly
Patricia Crocker
Patricia Kennedy
Tammy MacIntosh
Teagan Croft
Terasa Livingstone
Neva Carr Glyn
Okenyo
Olga Brandon
Penny Cook
Penny Downie
Queenie Ashton
Sarah McLellan
Sophie Katinis
Sophie Lee
Sophie Wright
Tabrett Bethell
Thelma Afford
Thelma Grigg
Thelma Scott
Victoria Haralabidou
Victoria Longley
Virginia Gay
Vivienne Garrett
Celia Pacquola
Doris Fitton
Doris Younane
Dorothy Alison
Dorothy Cumming
Gwen Plumb
Inge Hornstra
Jeanie Drynan
Jeanne Little
Jemma Rix
Jennie Yeamans
Jennifer Hagan
Jenny Lovell
Jentah Sobott
Jude Kuring
Judi Farr
Judith McGrath
Judy Davis
Judy Nunn
Julia Blake
Julia Matthews
Julieanne Newbould
June Jago
June Newton
June Salter
Mignon O'Doherty
Nellie Bramley
Nellie Stewart
Nicole da Silva
Nikki Webster
Ningali Lawford
Rebecca Dines
Rebecca Jackson Mendoza
Rowena Wallace
Roz Hammond
Sheila Florance
Tien Hogue
Deidre Rubenstein
Denise Drysdale
Fanny Cathcart
Fay Kelton
Kerrie Anne Greenland
Kerry Norton-Smyser
Kerry Walker
Kiley Gaffney
Kim Krejus
Mavis Villiers
May Hollinworth
May Robson
Natalie Bassingthwaighte
Natasha Beaumont
Catherine McClements
Catherine Terracini
Colette Mann
Colleen Clifford
Coral Browne
Eliza O'Flaherty
Eliza Scanlen
Eliza Szonert
Elizabeth Alexander
Elizabeth Debicki
Ella Scott Lynch
Elsie Jane Wilson
Emma Hamilton
Emma Roche
Emélie Polini
Erika Naddei
Erin James
Gerda Nicolson
Glen Alyn
Glenda Linscott
Justine Clarke
Justine Saunders
Leah Purcell
Linda Cropper
Linda Marlowe
Linden Wilkinson
Lindy Davies
Ling-Hsueh Tang
Lulu Pinkus
Lydia Yeamans Titus
Lyndel Rowe
Lynette Curran
Lynette Narkle
Lynn Rainbow
Maria Angelico
Marie Lohr
Marta Dusseldorp
Marta Kaczmarek
Melanie Beddie
Melanie Vallejo
Melissa Dunphy
Michelle Vergara Moore
Sigrid Thornton
Toni Collette
Toni Lamond
Zoe Caldwell
Chloe Dallimore
Chloé Hollings
Christine Amor
Clare Bowen
Clarissa Kaye
Cleopatra Coleman
Danielle Carter
Daphne Pollard
Deborah Kennedy
Deborah Mailman
Debra Lawrance
Diana Glenn
Diana McLean
Diane Cilento
Elaine Lee
Esme Melville
Essie Davis
Essie Jenyns
Esther Hannaford
Ethel Knight Kelly
Fiona Spence
Jacinta John
Jacki Weaver
Jacqueline Brennan
Jessica Tovey
Jill Perryman
Joan Marion
Joan Sydney
Joan Whalley
Jody Kennedy
Kelley Abbey
Minnie Love
Monica Maughan
Mouche Phillips
Rachael Carpani
Rachel Griffiths
Rachel Szalay
Rarriwuy Hick
Sally McKenzie
Lara Robinson
Lucy Wigmore
Mabel Bert
Mary Ward
P. L. Travers
Hannah Greenwood
Hollie Andrew
Jan Adele
Jane Menelaus
Jann Knijnenburg
Kat Stewart
Kate Atkinson
Kate Box
Kate Cole
Kate Hood
Kate Jenkinson
Kate Mulvany
Kate Sheil
Katerina Kotsonis
Katharine Cullen
Kathryn Beck
Katrina Milosevic
Liz Harris
Nadia Townsend
Nadine Garner
Nancy O'Neil
Naomi Price
Ruth Cracknell
Susan Prior
Suzanne Bennett
Ursula Mills
Hayley McElhinney
Heather Mitchell
Helen Buday
Helen Morse
Helen Scott
Ivy Scott
Patsy King
Patti Newton
Paula Arundell
Persia Blue
Peta Brady
Peta Sergeant
Petra Yared
Philippa Baker
Libby Munro
Libby Tanner
Lily Dampier
Margaret Johnston
Margot Knight
Pamela Rabe
Robin McLeavy
Robyn Nevin
Yael Stone
Noeline Brown
Norma Whalley
Rhoda Roberts
Rose Byrne
Rose Quong
Sandy Gore
Tharini Mudaliar
Vera Pearce
Wendy Blacklock
Wendy Strehlow
