Adele Neuhauser
Adrienne Gessner
Aglaia Szyszkowitz
Aglaja Schmid
Alma Seidler
Andrea Eckert
Angela Salloker
Angelika Hauff
Anita Gutwell
Anna Exl
Anna Kallina
Annelies Reinhold
Annie Rosar
Anny Miletty
Auguste Pünkösdy
Franziska Kinz
Franziska Weisz
Frida Richard
Friedl Czepa
Ina-Alice Kopp
Ina Duscha
Ina Peters
Irene Prador
Johanna Matz
Barbara Kowa
Barbara Redl
Barbara Valentin
Betty Bird
Birgit Doll
Birgit Minichmayr
Brigitte Kren
Carmen Cartellieri
Caroline Vasicek
Loni von Friedl
Lotte Lang
Lotte Ledl
Lotte Lenya
Madita
Mady Christians
Magda Sonja
Miriam Stein
Mizzi Griebl
Mizzi Zwerenz
Puti Kaisar-Mihara
Sunnyi Melles
Tatjana Alexander
Mercedes Echerer
Monica Bleibtreu
Olga Engl
Olly Gebauer
Olly Holzmann
Poldi Dur
Sonja Jeannine
Sonja Kirchberger
Sophie Pagay
Sophie Rois
Thea Weis
Victoria Trauttmansdorff
Viktoria von Ballasko
Vilma Degischer
Dora Kaiser
Dora Komar
Doris Kirchner
Dorit Kreysler
Dorothea Neff
Inge Egger
Inge Konradi
Inge List
Ingeborg Cornelius
Jenny Jugo
Joy Alphonsus
Judith Holzmeister
Julia Koschitz
Julia Serda
Julia Stemberger
Mathilde Danegger
Mathilde Sussin
Mila Kopp
Nina Proll
Regina Fritsch
Roxane Duran
Tilla Durieux
Traudl Stark
Feo Aladag
Gabriele Sima
Krista Nell
Käthe Gold
Leontine Sagan
Leopoldine Konstantin
Mia May
Valerie Pachner
Valerie von Martens
Waltraut Haas
Wanda Rotha
Waris Dirie
Elfe Gerhart
Elfi Eschke
Elfie Mayerhofer
Elfriede Datzig
Elfriede Kuzmany
Elisabeth Markus
Elisabeth Neumann-Viertel
Elisabeth Stiepl
Elisabeth Trissenaar
Elissa Landi
Ellen Richter
Else Rambausek
Erica Vaal
Erika Pluhar
Erika Remberg
Erika von Thellmann
Geraldine Katt
Gerda Maurus
Gerlinde Locker
Gertraud Jesserer
Gilda Langer
Gisa Wurm
Ida Krottendorf
Ilka Grüning
Ilse Exl
Ilse Peternell
Jutta Bornemann
Lina Woiwode
Luise Ullrich
Lya Ley
Maria Eis
Maria Emo
Maria Fein
Maria Hofstätter
Maria Holst
Maria Minzenti
Maria Perschy
Maria Reisenhofer
Maria Rohm
Maria Schell
Maria Zelenka
Marianne Schönauer
Marie von Buelow
Marietta Millner
Marion Mitterhammer
Marisa Mell
Marte Harell
Martha Wallner
Melanie Horeschowsky
Sissy Löwinger
Steffie Spira
Sybil Danning
Sybil Smolova
Sybille Binder
Toni von Bukovics
Yelda Reynaud
Christa Schwertsik
Christine Buchegger
Christine Schuberth
Christine Sommer
Christl Mardayn
Claude Farell
Clementine Plessner
Dagmar Koller
Dagny Servaes
Dalal Bruchmann
Edith Elmay
Edith Mill
Edith Méra
Edith Prager
Erni Mangold
Eva Kerbler
Eva Löbau
Eva May
Eva Pawlik
Eva Rueber-Staier
Eva von Berne
Jester Naefe
Mimi Gstöttner-Auer
La Jana
Laura Bilgeri
Lucie Englisch
Martina Ebm
María Corda
Senta Berger
Senta Wengraf
Greta Gonda
Grete Berger
Grete Natzler
Gretl Schörg
Gretl Theimer
Grit Haid
Gusti Huber
Gusti Wolf
Hannelore Auer
Hortense Raky
Jane Tilden
Josefin Kipper
Josefine Dora
Katharina Böhm
Katharina Stemberger
Klaramaria Skala
Lizzi Holzschuh
Lizzi Waldmüller
Nadja Tiller
Romana Carén
Ruth Farchi
Susanne Wuest
Susanne von Almassy
Susi Lanner
Susi Nicoletti
Ursula Strauss
Hansi Burg
Hansi Knoteck
Hansi Niese
Hedwig Bleibtreu
Hedy Lamarr
Heidelinde Weis
Heidemarie Hatheyer
Helene Thimig
Helga Anders
Herta Konrad
Herta Mayen
Herta Staal
Hertha Feiler
Hertha Natzler
Hilde Krahl
Hilde Körber
Hilde Volk
Hilde Wagener
Hilde von Stolz
Pia Hierzegger
Liane Haid
Lilly Flohr
Lilly Stepanek
Mara Lane
Margarete Slezak
Margot Werner
Paola Loew
Ressel Orla
Nora Gregor
Rosa Albach-Retty
Rose Stradner
Trude Marlen
Trude von Molo
Ulla Jacobsson
Vera Complojer
