Adrienne Gessner
Amalie Haizinger
Andrea Eckert
Angelika Hauff
Anna Exl
Anna Kallina
Annie Rosar
Antonie Adamberger
Auguste Pünkösdy
Franziska Weisz
Friedl Czepa
Fritzi Scheff
Irene Prador
Barbara Kowa
Beatrice von Dovsky
Birgit Doll
Birgit Minichmayr
Carmen Cartellieri
Caroline Vasicek
Lotte Ledl
Mady Christians
Magda Sonja
Mizzi Griebl
Mizzi Zwerenz
Sunnyi Melles
Mercedes Echerer
Monica Bleibtreu
Olga Engl
Poldi Dur
Sonja Jeannine
Sophie Pagay
Thea Weis
Therese Grünbaum
Therese Krones
Vilma Degischer
Celia Lovsky
Dora Komar
Dorothea Neff
Inge Egger
Inge Konradi
Inge List
Ingeborg Cornelius
Josephine Wessely
Judith Holzmeister
Julia Serda
Julia Stemberger
Mathilde Danegger
Miki Malör
Mila Kopp
Regina Fritsch
Roxane Duran
Tilla Durieux
Käthe Gold
Leontine Sagan
Leopoldine Konstantin
Mavie Hörbiger
Valerie Pachner
Valerie von Martens
Waltraut Haas
Wanda Rotha
Constanze Geiger
Elfe Gerhart
Elfi Eschke
Elisabeth Markus
Elisabeth Trissenaar
Else Rambausek
Erica Vaal
Erika Pluhar
Gerda Maurus
Gilda Langer
Gisa Wurm
Ida Orloff
Ida Roland
Ilka Grüning
Ilse Exl
Lina Woiwode
Maria Anna Adamberger
Maria Eis
Maria Emo
Maria Fein
Maria Reisenhofer
Marianne Golz
Marianne Schönauer
Marianne Zoff
Marianne von Willemer
Marie von Buelow
Marion Mitterhammer
Melanie Horeschowsky
Steffie Spira
Sybille Binder
Toni von Bukovics
Christa Schwertsik
Christine Buchegger
Christine Enghaus
Christine Sommer
Claude Farell
Clementine Plessner
Dagny Servaes
Edith Prager
Erni Mangold
Eva Löbau
Mimi Gstöttner-Auer
Martina Ebm
Senta Berger
Grete Berger
Gretl Schörg
Gusti Huber
Gusti Wolf
Hortense Raky
Jane Tilden
Josefine Dora
Katharina Schratt
Katharina Stemberger
Lizzi Waldmüller
Romana Carén
Ruth Brinkmann
Susanne von Almassy
Hansi Burg
Hansi Niese
Hedwig Bleibtreu
Heidemarie Hatheyer
Helene Thimig
Herta Konrad
Herta Mayen
Hertha Natzler
Hertha Pauli
Hilde Volk
Hilde Wagener
Hilde von Stolz
Paula Conrad
Lilly Flohr
Lilly Stepanek
Paola Loew
Nora Gregor
Rosa Albach-Retty
Trude Marlen
Vera Complojer
