Adele Neuhauser
Alma Seidler
Anna F.
Franziska Weisz
Friedl Czepa
Ina-Alice Kopp
Johanna Hohloch
Johanna Matz
Babsie Steger
Barbara Kowa
Barbara Valentin
Birgit Doll
Birgit Minichmayr
Loni von Friedl
Lotte Lang
Lotte Ledl
Miriam Stein
Mirjam Weichselbraun
Muriel Baumeister
Sunnyi Melles
Tatjana Alexander
Mercedes Echerer
Monica Bleibtreu
Sona MacDonald
Sonja Kirchberger
Sophie Rois
Doris Kirchner
Inge Egger
Inge Konradi
Judith Holzmeister
Julia Stemberger
Mila Kopp
Nina Proll
Regina Fritsch
Tilla Durieux
Feo Aladag
Käthe Gold
Valerie Pachner
Waltraut Haas
Wanda Rotha
Elfriede Kuzmany
Elisabeth Neumann-Viertel
Elisabeth Stiepl
Elisabeth Trissenaar
Erica Vaal
Erika Pluhar
Erika Remberg
Erika von Thellmann
Gerlinde Locker
Gertraud Jesserer
Ida Krottendorf
Luise Ullrich
Maria Emo
Maria Perschy
Maria Schell
Marianne Mendt
Marianne Schönauer
Marion Mitterhammer
Marte Harell
Martha Wallner
Melanie Horeschowsky
Sissy Höfferer
Sissy Löwinger
Sybil Danning
Christiane Hörbiger
Christine Buchegger
Christine Ostermayer
Christine Schuberth
Christine Sommer
Dagmar Koller
Dalal Bruchmann
Edith Elmay
Edith Mill
Erni Mangold
Eva Kerbler
Eva Löbau
Larissa Marolt
Laura Bilgeri
Senta Berger
Senta Wengraf
Gusti Wolf
Katharina Böhm
Katharina Stemberger
Nadja Tiller
Ruth Farchi
Susanne von Almassy
Susi Nicoletti
Ursula Lingen
Ursula Strauss
Heidelinde Weis
Heidemarie Hatheyer
Helga Anders
Herta Staal
Hilde Volk
Margot Werner
Paola Loew
