Adelheid Arndt
Adriana Altaras
Alexandra Kluge
Alina Levshin
Angela Winkler
Irm Hermann
Isabelle Huppert
Lena Stolze
Barbara Auer
Barbara Sukowa
Brigitte Mira
Monica Bleibtreu
Sophie Rois
Thekla Carola Wied
Therese Giehse
Ingrid Caven
Julia Jentsch
Juliane Köhler
Nina Hoss
Nastassja Kinski
Elisabeth Bergner
Elisabeth Flickenschildt
Gisela May
Gisela Uhlen
Ilse Pagé
Ilse Werner
Jördis Triebel
Lina Carstens
Lisa Kreuzer
Liselotte Pulver
Maria Schrader
Marianne Hoppe
Marianne Sägebrecht
Sibel Kekilli
Sylvie Testud
Zuhal Olcay
Christiane Hörbiger
Dana Vávrová
Edith Clever
Eva Mattes
Martina Gedeck
Tina Engel
Hanna Schygulla
Hannelore Elsner
Jana Brejchová
Katharina Thalbach
Katja Riemann
Katrin Sass
Nadja Tiller
Ruth Leuwerik
Susanne Lothar
Ursula Werner
Özay Fecht
Heidemarie Hatheyer
Helena Zengel
Hilde Krahl
Margit Carstensen
Renate Krößner
Romy Schneider
Sabine Sinjen
Sandra Hüller
Vera Tschechowa
