Alfre Woodard
Angelina Jolie
Ann-Margret
Ann Jillian
Anya Taylor-Joy
Barbara Hershey
Bette Midler
Gena Rowlands
Loretta Young
Maggie Gyllenhaal
Patricia Arquette
Meryl Streep
Queen Latifah
S. Epatha Merkerson
Sarah Paulson
Drew Barrymore
Ingrid Bergman
Judi Dench
Judy Davis
Julianne Moore
Nicole Kidman
Elisabeth Moss
Glenn Close
Michelle Williams
Christine Lahti
Claire Danes
Jessica Lange
Joanne Woodward
Lady Gaga
Laura Dern
Laura Linney
Halle Berry
Jane Seymour
Kate Winslet
Liza Minnelli
Helen Mirren
Uma Thurman
