Abbi Jacobson
Ada Dwyer Russell
Adelaide Kane
Ali Stroker
Alia Shawkat
Aline Wirley
Alison Garrigan
Alla Nazimova
Amanda Barrie
Amybeth McNulty
Angelina Jolie
Anita Berber
Anitta
Ann Hampton Callaway
Anna Akana
Anna Paquin
Anne Heche
Ashley Benson
Ashley Comeau
Aubrey Plaza
Auliʻi Cravalho
Aunjanue Ellis
Frenchie Davis
Hen Yanni
Isabelle McCalla
Azealia Banks
Bai Ling
Beatrice Lillie
Bella Darvi
Bianca Beauchamp
Bif Naked
Blyth Daly
Bonnie McKee
Bree Essrig
Brenda Benet
Briana Venskus
Camila Pitanga
Camryn Grimes
Cara Delevingne
Cardi B
Carole Ita White
Carrie Brownstein
Genevieve Buechner
Hédi Temessy
Maddie Hasson
Maddie Taylor
Mlle Raucourt
Patricia Wolf
Tallulah Bankhead
Tanya Davis
Mercedes Mason
Olivia Thirlby
Pearl Mackie
Peggy Fears
Savannah Lee Smith
Sook-Yin Lee
Storm Large
Thea Gill
Vivienne Medrano
Willow Shields
Willow Smith
Zelda Williams
Celia Rose Gooding
Dolly-Rose Campbell
Drew Barrymore
Inge Meysel
Jehnny Beth
Jen Richards
Jenn McAllister
Jennie Eisenhower
Josephine Baker
Josephine Hutchinson
Joy Brook
Judy Carne
Julie Goodyear
Julie d'Aubigny
Nell Carter
Nicol Paone
Nicola Correia-Damude
Nicole Faraday
Nimmy March
Samantha Baines
Shannon Purser
Sherry Cola
Desiree Akhavan
Fernanda Souza
Kristanna Loken
Kristen Stewart
Mica Burton
Vanessa Lengies
Catherine Bell
Elena Perova
Eleonora Duse
Elise Bauman
Elsie de Wolfe
Emily Goss
Erica Gavin
Erin Sanders
Franchesca Ramsey
Georgette Leblanc
Glesca Marshall
Grace Rolek
Karin Hils
Lauren Patten
Linsey Godfrey
Luvia Petersen
Lynn Shelton
Maria Maya
Maria Ribeiro
Maria Schneider
Marianne Hoppe
Marlene Dietrich
Meg Turney
Megan Fox
Megan Stalter
Michael Strange
Michelle Rodriguez
Michelle de Swarte
Stefanie Martini
Stephanie Beatriz
Stephanie Corneliussen
Stephanie Sellars
Sybille Schmitz
Yetide Badaki
Chrishell Stause
Clementine Ford
Dana Terrace
Danielle Cormack
Eréndira Ibarra
Evan Rachel Wood
Florina Kaja
Hunter Schafer
Javicia Leslie
Jayli Wolf
Jessica Alexander
Jessica Graham
Jessica Revell
Jessicka
Monica Raymund
Monique Evans
Crystal Bowersox
Crystal Chappell
Cynthia Erivo
Laci Mosley
Lady Gaga
Laurel Holloman
Mary Ellen Tracy
Mary Lynn Rajskub
Greta Garbo
Haley Webb
Halsey
Hannah Einbinder
Janelle Monáe
Janet Krupin
Janet Varney
Karol Conká
Kate Jenkinson
Katherine Barrell
Naike Rivelli
Nailea Norvind
Nanda Costa
Soko
Harley Quinn Smith
Ivy Levan
Iyari Limon
Ramona Marquez
Libby Holman
Lilan Bowden
Lili Reinhart
Lilia Buckingham
Lilian Harvey
Lilly Singh
Mara Wilson
Margaret Cho
Margaret Tu Chuan
Pam St Clement
Rosalinda Celentano
Rosie Waterland
Saffron Burrows
Sandra Bernhard
Sara Wiseman
