Alia Bhatt
Amanda Rosario
Ambika Mod
Amita Dhiri
Amy-Leigh Hickman
Amy Maghera
Anjali Jay
Anjli Mohindra
Anya Chalotra
Archie Panjabi
Aruna Shields
Indira Varma
Ayesha Dharker
Balvinder Sopal
Banita Sandhu
Bindya Solanki
Geeta Basra
Lolita Chakrabarti
Parminder Nagra
Sukh Ojla
Suma Bhattacharya
Sunetra Sarker
Taj Atwal
Tara Sharma
Meryl Fernandes
Pearl Chanda
Sarita Choudhury
Sarita Khajuria
Shivaani Ghai
Shobna Gulati
Shobu Kapoor
Soni Razdan
Sophie Choudry
Vineeta Rishi
Chandeep Uppal
Charithra Chandran
Neelam Kothari
Nikki Patel
Nina Wadia
Rebecca Hazlewood
Seeta Indrani
Shelley Conn
Shelley King
Feryna Wazheir
Goldy Notay
Varada Sethu
Gia Johnson
Girija Shettar
Karishma Kotak
Meera Simhan
Meera Syal
Shaheen Khan
Simone Ashley
Zuleikha Robinson
Dinita Gohil
Jessica Clark
Jiah Khan
Rachna Khatau
Saira Choudhry
Mamta Kaash
Mandeep Dhillon
Mandip Gill
Mandy Takhar
Manjinder Virk
Manpreet Bambra
Haiesha Mistry
Jamila Massey
Katrina Kaif
Mumtaz
Naomi Scott
Nauheed Cyrusi
Rukku Nahar
Tehmina Sunny
Harvey Virdi
Hazel Keech
Himanshi Choudhry
Paige Sandhu
Reshma Shetty
Rita Wolf
Ritu Arya
Pooja Shah
Preeti Desai
Preeya Kalidas
Priya Davdra
Priyaa Lal
Rhona Mitra
Sapna Pabbi
