A. J. Cook
Aaryn Doyle
Abby Hagyard
Abena Malika
Addison Holley
Adriana Maggs
Agam Darshi
Aimee Chan
Aimée Castle
Aislinn Paul
Alaina Huffman
Alanis Morissette
Alberta Watson
Alex Paxton-Beesley
Alex Rice
Alexandra Beaton
Alexandra Chaves
Alexandra Ordolis
Alexandra Stewart
Alexandrine Latendresse
Alexia Fast
Alexis Smith
Alexsandra Wright
Alexz Johnson
Ali Liebert
Alice Moran
Alice Morel-Michaud
Alicia Thorgrimsson
Alisa Walton
Alisen Down
Alisha Newton
Alison Louder
Alison Matthews
Alison Pill
Alison Sealy-Smith
Alison Thornton
Aliyah O'Brien
Aliza Vellani
Allegra Denton
Allie MacDonald
Allie X
Allison Hossack
Alysa King
Alyson Court
Alyssa Nicole Pallett
Amanda Barker
Amanda Brugel
Amanda Crew
Amanda Joy
Amanda Stepto
Amanda Tapping
Amanda Walsh
Amber Marshall
Amrit Kaur
Amy Forsyth
Amy Jo Johnson
Amy Lalonde
Amy Matysio
Amy Price-Francis
Amy Sloan
Amybeth McNulty
Ana Golja
Anais Granofsky
Anastasia Lin
Anastasia Phillips
Anaïs Barbeau-Lavalette
Anaïs Favron
Andrea Bang
Andrea Brooks
Andrea Lewis
Andrea Libman
Andrea Mann
Andrea Menard
Andrea Morris
Andrea Roth
Andrée Champagne
Andrée Lachapelle
Andrée Pelletier
Angela Asher
Angela Besharah
Angela Featherstone
Angela Fong
Angela Fusco
Angela Galuppo
Angèle Coutu
Anick Lemay
Anie Pascale
Anita Majumdar
Ann Pirvu
Ann Rutherford
Anna Cathcart
Anna Cummer
Anna Cyzon
Anna Galvin
Anna Hopkins
Anna Mae Routledge
Anna Paquin
Anna Silk
Anna Van Hooft
Annabella Piugattuk
Anne-Marie Cadieux
Anne-Marie Martin
Anne-Élisabeth Bossé
Anne Bedian
Anne Casabonne
Anne Dorval
Anne Helm
Anne Legault
Anne Marie DeLuise
Anne Openshaw
Annick Obonsawin
Annie Clark
Annie M. Briggs
Annie Murphy
April Mullen
April Telek
Araby Lockhart
Arlen Aguayo-Stewart
Arlene Duncan
Arsinée Khanjian
Ashleigh Aston Moore
Ashleigh Harrington
Ashley Diana Morris
Ashley Leggat
Ashley Newbrough
Asia Vieira
Athena Karkanis
Audrey Dwyer
Aurora Browne
Autumn Phillips
Aviva Mongillo
Avril Lavigne
Françoise Robertson
Françoise Yip
Freya Ravensbergen
Henriette Ivanans
Iréna Mayeska
Isabel Richer
Isabelle Cyr
Isabelle Guérard
Isabelle Gélinas
Isabelle Mejias
Isabelle Nélisse
Joely Collins
Johanna Stein
Johanne-Marie Tremblay
Johanne Garneau
Leela Savasta
Leni Parker
Lennon Stella
Lenore Zann
Ayesha Curry
Balinder Johal
Barbara Budd
Barbara Chilcott
Barbara Eve Harris
Barbara Hamilton
Barbara Kelly
Barbara Mamabolo
Barbara March
Barbara Parkins
Barbara Radecki
Barbara Tyson
Barbara Williams
Belinda Metz
Belinda Montgomery
Benita Ha
Bernice Liu
Beth Amos
Bette MacDonald
Beverley Breuer
Beverley Elliott
Beverly Adams
Billie Mae Richards
Bjanka Murgel
Bre Blair
Brenda Kamino
Brenna O'Brien
Brett Somers
Briana Buckmaster
Briar Nolet
Bridget Neval
Brigitte Bako
Britne Oldford
Britt Irvin
Britt McKillip
Brittany Allen
Brittany Gray
Brittany Raymond
Brittany Tiplady
Brooke D'Orsay
Brooke Nevin
Brooke Palsson
Bryn McAuley
Béatrice Picard
Cali Timmins
Camilla Scott
Camille Felton
Camille Mitchell
Camille Sullivan
Candy Palmater
Cara Duff-MacCormick
Cara Gee
Cara Pifko
Carina Lau
Carla Collins
Carla Lehmann
Carly Foulkes
Carly McKillip
Carly Pope
Carmen Aguirre
Carmen Moore
Carmen Rasmusen
Carolina Bartczak
Caroline Dhavernas
Caroline Lesley
Caroline Néron
Caroline Rhea
Carolyn Dunn
Carrie-Anne Moss
Casey McKinnon
Cassie Steele
Catalina Yue
Gema Zamprogna
Genelle Williams
Geneva Locke
Genevieve Buechner
Geneviève Brouillette
Geneviève Bujold
Geneviève Néron
Geneviève Schmidt
Hélène Florent
Hélène Joy
Laine MacNeil
Lally Cadeau
Lois Bromfield
Lois Maxwell
Lola Tash
Lolita Davidovich
Lorena Gale
Loretta Yu
Lori Hallier
Louise Forestier
Louise Lee
Louise Marleau
Louise Portal
Louise Robey
Louisette Dussault
Louriza Tronco
Mackenzie Davis
Maddie Phillips
Madeleine Arthur
Madeleine Sherwood
Mag Ruffman
Magalie Lépine-Blondeau
Magda Apanowicz
Maggie Blue O'Hara
Miranda Kwok
Miranda de Pencier
Miriam McDonald
Mishael Morgan
Mishi Donovan
Missy Peregrym
Mutsumi Takahashi
Pascale Bussières
Pascale Hutton
Pascale Montpetit
Patricia Collins
Patricia Drake
Patricia Farmer
Patricia Hamilton
Patricia Harras
Patricia Marceau
