Aaryn Doyle
Abby Hagyard
Addison Holley
Aimée Castle
Alaina Burnett
Alexandra Carter
Alexandra Stewart
Ali Liebert
Alison Matthews
Alison Pill
Alison Sealy-Smith
Alyson Court
Andrea Libman
Angela Fusco
Angela Galuppo
Anna Cummer
Anna Galvin
Anna Paquin
Anna Van Hooft
Anne Casabonne
Anne Dorval
Annick Obonsawin
Annie Bovaird
Annie Clark
Ashleigh Ball
Athena Karkanis
Aurora Browne
Avril Lavigne
Freya Ravensbergen
Johanne Garneau
Lenore Zann
Barbara Budd
Barbara Dunkelman
Barbara Hamilton
Barbara Mamabolo
Barbara Radecki
Barbara Tyson
Belinda Metz
Benita Ha
Bif Naked
Billie Mae Richards
Brenna O'Brien
Brigitte Bako
Britne Oldford
Britt Irvin
Britt McKillip
Bronwen Mantel
Brooke D'Orsay
Bryn McAuley
Béatrice Picard
Caitlyn Bairstow
Caitlynne Medrek
Camilla Scott
Cara Pifko
Carla Collins
Carly McKillip
Carmen Moore
Carol-Anne Day
Carolina Bartczak
Caroline Lesley
Caroline Rhea
Carrie-Anne Moss
Carrie Finlay
Cassie Steele
Geneviève Bujold
Hélène Joy
Lally Cadeau
Lois Maxwell
Lolita Davidovich
Lorena Gale
Loretta Jafelice
Mag Ruffman
Maggie Blue O'Hara
Maggie Cassella
Miriam McDonald
Patricia Drake
Patricia Hamilton
Patricia Summersett
Sugar Lyn Beard
Sunday Muse
Sunita Prasad
Supinder Wraich
Tajja Isen
Tamara Bernier Evans
Tamara Levitt
Tara Spencer-Nairn
Tara Strong
Tate McRae
Tatiana Maslany
Teresa Pavlinek
Terri Hawkes
Melleny Melody
Moneca Stori
Neve Campbell
Peg Dixon
Sarah Lafleur
Sarah Polley
Sarah Strange
Shirley Douglas
Soma Chhaya
Sophia Ewaniuk
Stevie Vallance
Tabitha St. Germain
Taborah Johnson
Torri Higginson
Victoria Duffield
Willow Johnson
Celine Dion
Chantal Quesnel
Chantal Strand
Charity Brown
Gwynyth Walsh
Jean Yoon
Jeannie Elias
Jen Gould
Jenessa Grant
Jenn Forgie
Jennifer Bain
Jennifer Dale
Jennifer Gillis
Jennifer Hale
Jennifer Howell
Jennifer Robertson
Jennifer Tilly
Joy Coghill
Judi Richards
Julia Chantrey
Julie Le Breton
Julie Lemieux
Nia Vardalos
Nicola Correia-Damude
Nicole Bouma
Nicole Jaffe
Nicole Oliver
Nicole Stamp
Nina Keogh
Nissae Isen
Rebecca Jenkins
Rebecca Shoichet
Samantha Bee
Samantha Ferris
Samantha Weinstein
Shannon Chan-Kent
Shannon Farnon
Sheila McCarthy
Tracey Hoyt
Tracey Moore
Tracy Ryan
Gabrielle Miller
Gabrielle Rose
