Ada Lundver
Adeele Sepp
Aire Koop
Anne Margiste
Anne Reemann
Anu Lamp
Astrid Lepa
Ita Ever
Leida Rammo
Leila Säälik
Lenna Kuurmaa
Britta Soll
Laine Mägi
Mirtel Pohla
Terje Pennie
Merle Jääger
Merle Palmiste
Merle Talvik
Sophie Sooäär
Viire Valdma
Ines Aru
Inga Salurand
Ingrid Isotamm
Kersti Heinloo
Kersti Kreismann
Kiiri Tamm
Kärt Tomingas
Külli Palmsaar
Külli Teetamm
Külliki Saldre
Elina Purde
Elisabet Reinsalu
Ellen Alaküla
Ellen Liiger
Ene Järvis
Erika Kaljusaar
Getter Jaani
Karin Rask
Karin Tammaru
Maria Annus
Marta Laan
Meeli Sööt
Silvia Laidla
Sirje Tennosaar
Eda-Ines Etti
Eili Sild
Ester Pajusoo
Eva Püssa
Evelin Võigemast
Evi Rauer
Ragne Veensalu
Salme Poopuu
Salme Reek
Kadri Rämmeld
Kaie Mihkelson
Kaili Närep
Maarja Jakobson
Katariina Ratasepp
Katariina Unt
Katrin Pärn
Klaudia Tiitsmaa
Ursula Ratasepp
Ülle Kaljuste
Harriet Toompere
Hele Kõrve
Helene Vannari
Helle-Reet Helenurm
Herta Elviste
Hilje Murel
Raine Loo
Lii Tedre
Liina Olmaru
Liina Tennosaar
Liis Lass
Liis Lindmaa
Liisa Aibel
Liisa Pulk
Mari Lill
Mari Pokinen
Rita Raave
Rita Rätsepp
Piret Kalda
Piret Krumm
Piret Laurimaa
Saara Pius
