Ada Svedin
Adele Sandrock
Adele Spitzeder
Adriana Altaras
Agathe Poschmann
Agnes Straub
Agnes Windeck
Ali Ghito
Alice Hechy
Aloysia Weber
Alwara Höfels
Amalie Haizinger
Anaid Iplicjian
Andrea Clausen
Andrea Dahmen
Angela Winkler
Angelika Hurwicz
Anita Augspurg
Anja Brünglinghaus
Ann Höling
Anna Dammann
Anna Führing
Anna Katharina Schwabroh
Anna Montanaro
Anna Müller-Lincke
Anna Schudt
Anna von Palen
Annekathrin Bürger
Anneke Kim Sarnau
Anneli Granget
Annemarie Hase
Annemarie Steinsieck
Annett Fleischer
Annika Ernst
Antje Geerk
Antje Nikola Mönning
Auguste Prasch-Grevenberg
Franziska Ellmenreich
Franziska Junge
Franziska Troegner
Friederike Sophie Seyler
Frigga Braut
Fritzi Haberlandt
Henriette Hendel-Schütz
Henriette Mendel
Henriette Richter-Röhl
Irene Clarin
Johanna André
Johanna Hofer
Johanna Liebeneiner
Johanna Terwin
Johanna Wokalek
Johanna von Koczian
Barbara Antonie Barth
Barbara Frey
Barbara Sukowa
Barbara von Annenkoff
Berta Drews
Bettina Hoppe
Bettina Kupfer
Bettina Moissi
Betty Roose
Bibiana Beglau
Birthe Wolter
Blandine Ebinger
Brigitte Horney
Brigitte Mira
Bruni Löbel
Bärbel Röhl
Carmen-Maja Antoni
Carola Braunbock
Carola Höhn
Carola Neher
Carola Toelle
Carolin Fortenbacher
Caroline Bauer
Lola Müthel
Lotte Koch
Lotte Lorring
Lotte Rausch
Lotte Spira
Lotte Stein
Louise Dumont
Magda Schneider
Mirja Boes
Sunnyi Melles
Tajna Tanović
Teresa Weißbach
Monica Bleibtreu
Olga Desmond
Olga Limburg
Saskia Vester
Sonja Kehler
Sophie Albrecht
Sophie Müller
Sophie Schröder
Sophie Wepper
Thea Rosenquist
Thea von Harbou
Therese Giehse
Wilma Elles
Yvonne Brosch
Zanetta Farussi
Dora Gerson
Dorothea Ackermann
Dorothea Thiess
Dorothea Wieck
Inga Abel
Inge Keller
Inge Meysel
Ingrid Andree
Ingrid Pan
Ingrid Rentsch
Jeanette Spassova
Jennipher Antoni
Jenny Schily
Jenny Winkler
Josephine Jacob
Julia Janssen
Julia Jentsch
Julia Stinshoff
Julia Thurnau
Juliane Köhler
Mathilde Cottrelly
Mathilde Danegger
Nicole Heesters
Nikola Kastner
Nina Bott
Nina Hoss
Nisma Cherrat
Ossi Oswalda
Rotraut Richter
Traute Carlsen
Fanny Schreck
Felicita Vestvali
Kristie Reeves
Kristin Meyer
Käte Alving
Käthe Braun
Käthe Dorsch
Käthe Haack
Leslie Malton
Mavie Hörbiger
Valerie Boothby
Valerie von Martens
Valeska Gert
Valeska Stock
Colette Corder
Corinna Harfouch
Cornelia Froboess
Corny Collins
Elfi Eschke
Eli Wasserscheid
Elisabeth Bergner
Elisabeth Ebeling
Elisabeth Lennartz
Elisabeth Strickrodt
Elisabeth Trissenaar
Elisabeth Wiedemann
Elise Aulinger
Elke Neidhardt
Ellen Franz
Ellen Schwanneke
Ellen Schwiers
Elsa Bassermann
Elsa Wagner
Else Ehser
Else Lehmann
Else Reval
Emmy Göring
Emmy Wehlen
Erika Glässner
Erika Helmke
Georgia Lind
Gerda Maria Terno
Gerda Müller
Gertrud Eysoldt
Gertrud Meyen
Gertrud Wolle
Gertrud de Lalsky
Gertrude Welcker
Gesine Cukrowski
Gilda Langer
Gina Falckenberg
Gisela Fischer
Gisela May
Gisela Schlüter
Gisela Stein
Gisela Uhlen
Gisela von Collande
Ida Ehre
Ida Wüst
Ilse Korseck
Ilse Petri
Ilse Stanley
Ilse Steppat
Jutta Freybe
Jutta Lampe
Karin Boyd
Karin Dor
Karin Evans
Karin Hanczewski
Karin Jacobsen
Karin Lesch
Karin Ugowski
Konstanze Dahn
Lina Carstens
Lina Lossen
Luise Neumann
Luise del Zopp
Luitgard Im
Luli Deste
Lya Mara
Maria Loja
Maria Nicklisch
Maria Simon
Marianne Hoppe
Marianne Müller
Marianne Stanior
Marianne Winkelstern
Marie Magdalene Charlotte Ackermann
Marie Seebach
Marie von Buelow
Mariella Ahrens
Marieluise Claudius
Marika Rökk
Marina Ried
Marion van de Kamp
Marita Breuer
Marlene Dietrich
Martha Kunig-Rinach
Mechthildis Thein
Michaela Steiger
Simone Hanselmann
Simone Rethel
Steffie Spira
Stella Harf
Stephanie Stumph
Sybill Morel
Sybille Schmitz
Sybille Waury
Toni Tetzlaff
Toni van Eyck
Charlotte Ander
Charlotte Birch-Pfeiffer
Charlotte Hagenbruch
Charlotte Kerr
Charlotte Schultz
Charlotte Susa
Charlotte Wilhelmina Franziska Brandes
Charlotte von Hagn
Christel Peters
Christiane Lanzke
Christiane Paul
Christine Enghaus
Christine Laszar
Claudia Basrawi
Cläre Lotto
Dagmar Berghoff
Dagny Servaes
Dayan Kodua
Diana Amft
Diana Körner
Dietlinde Turban
Dinah Hinz
Edith Hancke
Edith Heerdegen
Ela Weber
Esther Carena
Eva Maler
Eva Meckbach
Eva Renzi
Eva Tinschmann
Evamaria Bath
Evelyn Künneke
Jing Xiang
Mimi Fiedler
Minna Planer
Monika Baumgartner
Monika Gruber
Monika Woytowicz
Salome Kammer
Kaaren Verne
Laura Osswald
Lucie Höflich
Lucie Mannheim
Lucy Millowitsch
Maly Delschaft
Manja Behrens
Manny Ziener
Senta Söneland
Wilhelmine von Hillern
Greta Schröder
Grete Berger
Grete Diercks
Grete Mosheim
Grete Reinwald
Grethe Weiser
Grit Boettcher
Gudrun Landgrebe
Gudrun Thielemann
Gundula Rapsch
Hanna Ralph
Hanna Rucker
Hanne Hiob
Hannelore Schroth
Hanni Weisse
Hortense Raky
Karoline Jagemann
Katerina Jacob
Katharina Thalbach
Kathrin Ackermann
Katja Frenzel
Katrin Heß
Klara Höfels
Liz Baffoe
Nadja Becker
Nadja Uhl
Roma Bahn
Ruth Drexel
Ruth Hausmeister
Ruth Landshoff
Ruth Leuwerik
Ruth Lommel
Ruth Maria Kubitschek
Ruth Niehaus
Ruth Stephan
Susan Cummings
Susan Stahnke
Susanne Lothar
Susanne Uhlen
Ursula Justin
Ursula Thiess
Ute Lemper
Hansi Burg
Hedwig Pauly-Winterstein
Hedwig Pringsheim
Hedwig Raabe
Hedwig Wangel
Hedwiga Reicher
Heidi Kabel
Heidi Stroh
Helene Odilon
Helga Göring
Helga Molander
Hella Tornegg
Hermine Körner
Hermine Sterler
Hertha Guthmar
Hertha Thiele
Hilde Hildebrand
Hilde Maroff
Hilde Schneider
Hilde Seipp
Hilde Wagener
Hildegard Knef
Hille Darjes
Paula Conrad
Petra Peters
Liane Hielscher
Lil Dagover
Mareike Carrière
Margarete Haagen
Margarete Kupfer
Margarete Lanner
Margarete Schön
Margit Carstensen
Ria Thiele
Rosa Valetti
Rose Liechtenstein
Rosel Zech
Rosina Regina Ahles
Sandra Fleckenstein
Sandra Hüller
Sandra Speichert
Trude Berliner
Trude Haefelin
