Andrea Clausen
Anja Kling
Anke Engelke
Anna Carlsson
Anne Helm
Atossa Leoni
Franziska Pigulla
Franziska Troegner
Friedel Morgenstern
Bella Dayne
Brigitte Grothum
Inge Landgut
Inge Solbrig
Judith Rakers
Julia Haacke
Julia Kaufmann
Nikki van der Zyl
Rubina Kuraoka
Gabrielle Pietermann
Vanessa Petruo
Elisabeth Volkmann
Erna Sellmer
Gerit Kling
Gisela Trowe
Giuliana Jakobeit
Ilona Otto
Ilse Fürstenberg
Ilse Steppat
Ilse Werner
Karin Ugowski
Marianne Wischmann
Marie-Luise Marjan
Marie-Luise Schramm
Martha Kunig-Rinach
Claudia Lössl
Lucie Pohl
Martina Hill
Kathrin Ackermann
Ruth Maria Kubitschek
Suzanne von Borsody
Ursula Thiess
Hansi Jochmann
Hildegard Krekel
Nora Tschirner
Sabine Bohlmann
Ulrike Mai
Veronika Neugebauer
