Ada Livitsanou
Afroditi Grigoriadou
Anastasia Tsilimpiou
Angela Gerekou
Angeliki Papoulia
Anna-Maria Papaharalambous
Anna Rezan
Antigone Metaxa-Krontera
Athina Oikonomakou
Beata Asimakopoulou
Melpo Kosti
Olga Karlatos
Rika Vagiani
Sophia Aliberti
Vicky Kaya
Vicky Vanita
Zeta Makripoulia
Despina Vandi
Koula Agagiotou
Georgia Apostolou
Koralia Karanti
Maria Martika
Maria Solomou
Marilita Lambropoulou
Marina Satti
Marina Tsintikidou
Melissanthi Mahut
Zozo Zarpa
Christina Tsafou
Chrysa Spiliotis
Clio-Danae Othoneou
Daphné Patakia
Eva Kotamanidou
Mary Akrivopoulou
Smaragda Karydi
Katerina Moutsatsou
Katia Dandoulaki
Rena Pagrati
Noni Ioannidou
