Ada Dyas
Adele King
Aedin Moloney
Aideen O'Kelly
Aine Ni Mhuiri
Aisling O'Sullivan
Alice Russon
Amy-Joyce Hastings
Amy McAllister
Anita Reeves
Anita Sharp-Bolster
Ann Rowan
Anna Manahan
Anna Marcella Giffard
Aoife Mulholland
Iris Ashley
Leigh Arnold
Barbara Bergin
Betty Chancellor
Bríd Ní Neachtain
Caitlín Maude
Careena Melia
Caroline Morahan
Carrie Crowley
Gemma Craven
Genevieve O'Reilly
George Anne Bellamy
Lola Montez
Louisa Harland
Patricia Boylan
Patricia Collinge
Tana French
Tara Blaise
Tara Lynne O'Neill
Olwen Fouéré
Peggy Cummins
Sorrel Carson
Charlene McKenna
Charlie Murphy
Doreen Keogh
Dorothea Jordan
Jenny Buckley
Joyce Redman
Julia Glover
Maud Gonne
Maureen Cusack
Maureen Delany
Maureen O'Hara
Maureen O'Sullivan
Maureen Potter
Maureen Pryor
Maureen Toal
Nellie Clifden
Niamh Cusack
Nicola Coughlan
Rebecca O'Mara
Scarlett Mack
Shelah Richards
Shereen Martineau
Tracy Coogan
Deirdre Donnelly
Deirdre Mullins
Deirdre O'Connell
Denise Gough
Fay Sargent
Gabrielle Reidy
May Cluskey
May Craig
Máire Nic Shiubhlaigh
Catherine Walker
Catherine Walsh
Cathleen Delany
Cathy Belton
Elizabeth O'Neill
Emily Taaffe
Emma Eliza Regan
Geraldine Fitzgerald
Geraldine Plunkett
Gillian Hanna
Gina Moxley
Lisa Dwan
Maire O'Neill
Maire Quinn
Mairead McKinley
Maria Honner
Marie-Louise O'Donnell
Marie Kean
Marie Mullen
Melanie Clark Pullen
Micheline Patton
Simone Kirby
Sinéad Cusack
Sinéad Keenan
Siobhán Cullen
Siobhán McCarthy
Sylvia O'Brien
Áine Ní Dhroigneáin
Daire Brehan
Danielle Galligan
Danielle Ryan
Dearbhla Molloy
Eileen Crowe
Eithne Dunne
Elaine Cassidy
Elaine Symons
Eva O'Connor
Evanna Lynch
Eve Watkinson
Fintan Meyler
Fiona Glascott
Fiona O'Shaughnessy
Fiona Shaw
Fiona Victory
Fionnuala Ní Fhlatharta
Fionnula Flanagan
Jessica Regan
Jessie Buckley
Joan Henley
Joan O'Hara
Joanne King
Kelly Gough
Rachel Burrows
Martina Stanley
Mary McEvoy
Katherine Igoe
Kathleen O'Regan
Kathleen Ryan
Kathy Kiera Clarke
Kathy Rose O'Brien
Kitty McShane
Moyna Macgill
Ruth Negga
Susan Fitzgerald
Harriet Smithson
Hilda Fay
Pauline Flanagan
Phyllis Ryan
Nuala Holloway
Orla Brady
Orla Fitzgerald
Noelle Middleton
Ria Mooney
Ronnie Masterson
Rosaleen Linehan
Sabina Higgins
Sara Allgood
Sarah Greene
Sarah Hamilton
Una Crawford O'Brien
Una O'Connor
Veronica Turleigh
