Alessandra Karpoff
Alessia Amendola
Andreina Pagnani
Anna Marchesini
Anna Maria Gherardi
Anna Melato
Anna Proclemer
Antonella Baldini
Antonella Rinaldi
Antonella Steni
Asia Argento
Fulvia Mammi
Isa Bellini
Isabella Rossellini
Benedetta Ponticelli
Carla Cassola
Carlotta Montanari
Lola Braccini
Lorella De Luca
Miranda Bonansea
Miranda Campa
Rina Morelli
Sophia Loren
Vittoria Febbi
Domitilla D'Amico
Nella Maria Bonora
Ottavia Piccolo
Federica De Bortoli
Federica Valenti
Letizia Ciampa
Micaela Esdra
Myriam Catania
Valentina Favazza
Valeria Valeri
Wanda Tettoni
Eleonora De Angelis
Elisabetta Spinelli
Elsa Vazzoler
Emanuela Pacotto
Emanuela Rossi
Franca Dominici
Francesca Braggiotti
Giovanna Scotto
Giulia Luzi
Giuliana Lojodice
Ilaria Latini
Ilaria Stagni
Lisa Mazzotti
Lydia Alfonsi
Lydia Simoneschi
Maria Pia Di Meo
Simona Izzo
Stefania Spampinato
Zoe Incrocci
Chiara Colizzi
Cinzia De Carolis
Cinzia Massironi
Claudia Catani
Claudia Razzi
Debora Magnaghi
Fiorella Betti
Flaminia Jandolo
Monica Ward
Cristina Grado
Laura Boccanera
Laura Latini
Lucia Catullo
Ludovica Modugno
Marzia Kjellberg
Selvaggia Quattrini
Serena Clerici
Serena Rossi
Tina Lattanzi
Livia Giampalmo
Liù Bosisio
Susanna Javicoli
Patrizia Mottola
Patrizia Scianca
Perla Liberatori
Licinia Lentini
Liliana Tellini
Marcella Rovena
Marcella Silvestri
Margherita Bagni
Paola Tedesco
Paola Tovaglia
Rita Savagnone
Rosalinda Galli
Rosetta Calavetta
