Abby Damen
Aidee Walker
Alison Bruce
Alison Routledge
Alison Wall
Alix Bushnell
Alma Evans-Freke
Alyssa Stringfellow
Amanda Billing
Amber Curreen
Amelia Reynolds
Amy Morrison
Angela Bloomfield
Angela Dotchin
Anna-Louise Plowman
Anna Hutchison
Anna Jullienne
Anna Paquin
Anna Sawai
Annie Whittle
Anouska Hempel
Antonia Prebble
Arianthe Galani
Lena Cruz
Li Ming Hu
Beryl Te Wiata
Beth Allen
Beth Chote
Bonnie Soper
Bree Peters
Bronwyn Turei
Brooke Williams
Brynley Stent
Camille Keenan
Caren Pistorius
Carolyn Dando
Catalina Guirado
Loren Horsley
Lori Dungey
Louise Pajo
Louise Wallace
Madeleine Sami
Miranda Harcourt
Miriama Smith
Pat Evison
Tandi Wright
Tania Nolan
Meredith Braun
Meryl Cassie
Molly Leishman
Olivia Tennet
Rima Te Wiata
Sarah Peirse
Sarah Thomson
Shushila Takao
Theresa Healey
Vicki Lin
Vicky Rodewyk
Victoria Spence
Virginie Le Brun
Yvonne Lawley
Ingrid Park
Jennifer Ward-Lealand
Jenny Ludlam
Jennyfer Jewell
Nicola Kawana
Nicole Whippy
Rebecca Gibney
Roz Turnbull
Shavaughn Ruakere
Dena Kennedy
Faye Smythe
Fern Sutherland
Kerry Fox
Kerry Smith
Kimberley Crossman
Mia Taumoepeau
Natalie Medlock
Stacey Leilua
Vanessa Rare
Vanessa Stacey
Catherine Wilkin
Courtney Abbot
Elizabeth Hawthorne
Elizabeth McRae
Emily Barclay
Emily Robins
Emma Lahana
Emmeline Hawthorne
Erana James
Frankie Adams
Georgia Fabish
Goretti Chadwick
Grace Palmer
Leah Vandenberg
Lisa Chappell
Lisa Harrow
Marissa Stott
Megan Alatini
Meighan Desmond
Melanie Lynskey
Michala Banas
Michele Amas
Michelle Ang
Michelle Langstone
Simone Kessell
Siobhan Marshall
Stefania LaVie Owen
Stephanie Tauevihi
Toni Potter
Zoe Cramond
Chelsie Preston Crayford
Claire Chitham
Claire Oberman
Danielle Cormack
Davina Whitehouse
Eve Gordon
Fleur Saville
Jackie Clarke
Jaimee Kaire-Gataulu
Jessica Lee Rose
Jessica Napier
Jodie Dorday
Jodie Rimmer
Keisha Castle-Hughes
Morgana O'Reilly
Rachel House
Rachel Hunter
Rachel Nash
Sally Martin
Tyler-Jane Mitchel
Lara Custance
Laura Wilson
Luciane Buchanan
Lucy Lawless
Lucy Wigmore
Mamaengaroa Kerr-Bell
Willa O'Neill
Greer Robson
Hannah Marshall
Holly Shanahan
Kate Elliott
Kate Harcourt
Katrina Devine
Susan Brady
Thomasin McKenzie
Helen Brew
JJ Fong
Liddy Holloway
Nyree Dawn Porter
Paige Shand-Haami
Pamela Stephenson
Rena Owen
Robyn Malcolm
Rosalind Allen
Rose McIver
Sara Wiseman
Teuila Blakely
Vera James
