America Ferrera
Imogene Coca
Isabel Sanford
Bea Arthur
Betty White
Candice Bergen
Carol Kane
Patricia Heaton
Shirley Booth
Jean Smart
Jean Stapleton
Jennifer Aniston
Julia Louis-Dreyfus
Rue McClanahan
Shelley Long
Felicity Huffman
Valerie Harper
Catherine O'Hara
Cathryn Damon
Gertrude Berg
Melissa McCarthy
Toni Collette
Debra Messing
Edie Falco
Eve Arden
Rachel Brosnahan
Lucille Ball
Mary Tyler Moore
Tina Fey
Hope Lange
Jane Curtin
Jane Wyatt
Kirstie Alley
Nanette Fabray
Ruth Gordon
Helen Hunt
Phoebe Waller-Bridge
Roseanne Barr
Sarah Jessica Parker
