Alfre Woodard
Lee Grant
Barbara Hershey
Barbara Stanwyck
Bette Davis
Gena Rowlands
Maggie Smith
Meryl Streep
Polly Bergen
S. Epatha Merkerson
Sarah Paulson
Ingrid Bergman
Judith Anderson
Judy Davis
Julianne Moore
Julie Harris
Maureen Stapleton
Mildred Natwick
Nicole Kidman
Regina King
Shelley Winters
Kim Stanley
Vanessa Redgrave
Ellen Barkin
Frances McDormand
Geraldine Page
Glenda Jackson
Glenn Close
Lynn Fontanne
Lynn Whitfield
Marlo Thomas
Michelle Williams
Simone Signoret
Cicely Tyson
Claire Danes
Claire Trevor
Cloris Leachman
Jessica Lange
Jessica Tandy
Jessica Walter
Joanne Woodward
Sally Field
Laura Linney
Mary Martin
Halle Berry
Holly Hunter
Jane Fonda
Kate Winslet
Katharine Hepburn
Kirstie Alley
Susan Clark
Susan Hampshire
Helen Mirren
Patty Duke
Rosemary Harris
