Ada Fijał
Agata Kulesza
Agnieszka Dygant
Agnieszka Sienkiewicz
Agnieszka Sitek
Agnieszka Suchora
Agnieszka Włodarczyk
Aleksandra Konieczna
Aleksandra Szwed
Aleksandra Śląska
Anita Sokołowska
Anna-Maria Sieklucka
Anna Dereszowska
Anna Dymna
Anna Ilczuk
Anna Kerth
Anna Nowak
Anna Przybylska
Anna Seniuk
Antonina Girycz
Irena Kwiatkowska
Jolanta Fraszyńska
Jolanta Lothe
Barbara Jonak
Barbara Krafftówna
Barbara Kwiatkowska-Lass
Barbara Rogowska
Beata Poźniak
Beata Tyszkiewicz
Bożena Dykiel
Grażyna Błęcka-Kolska
Magdalena Boczarska
Magdalena Mielcarz
Magdalena Zawadzka
Stanisława Celińska
Tamara Arciuch
Olga Borys
Sonia Bohosiewicz
Violetta Villas
Dominika Chorosińska
Dominika Jablonska
Dominika Ostałowska
Dorota Segda
Julia Kijowska
Julia Krynke
Julia Pietrucha
Gabriela Kownacka
Gabriela Muskała
Kinga Preis
Krystyna Feldman
Krystyna Mikołajewska
Krystyna Zachwatowicz
Małgorzata Braunek
Małgorzata Foremniak
Małgorzata Gebel
Małgorzata Kożuchowska
Małgorzata Socha
Małgorzata Zajączkowska
Wanda Opalinska
Elżbieta Góralczyk
Elżbieta Kępińska
Elżbieta Romanowska
Emilia Krakowska
Erika Kaar
Ilona Ostrowska
Maja Ostaszewska
Maria Garbowska-Kierczyńska
Marta Lipińska
Marta Żmuda Trzebiatowska
Michalina Olszańska
Zofia Czerwińska
Zofia Merle
Zofia Wichłacz
Zuzanna Szadkowski
Dagmara Domińczyk
Daria Widawska
Edyta Jungowska
Ewa Błaszczyk
Ewa Farna
Ewa Gorzelak-Dziduch
Ewa Ziętek
Jadwiga Kuryluk
Joanna Bartel
Joanna Jabłczyńska
Joanna Koroniewska
Joanna Kulig
Joanna Liszowska
Joanna Moro
Joanna Pacuła
Joanna Szczepkowska
Joanna Trzepiecińska
Joanna Żółkowska
Kazimiera Utrata
Monika Jarosińska
Kalina Jędrusik
Marzena Godecki
Hanka Bielicka
Hanna Śleszyńska
Karolina Wydra
Katarzyna Bujakiewicz
Katarzyna Chrzanowska
Katarzyna Cichopek
Katarzyna Dąbrowska
Katarzyna Figura
Katarzyna Glinka
Katarzyna Pakosińska
Klaudia Jachira
Roma Gąsiorowska
Suzanna von Nathusius
Izabela Kuna
Izabela Trojanowska
Izabella Miko
Patrycja Soliman
Lidia Wysocka
Liliana Komorowska
Renata Drössler
Sandra Drzymalska
Weronika Rosati
