Anita Mančić
Lena Bogdanović
Bojana Ordinačev
Bojana Stefanović
Branka Katić
Mirjana Karanović
Mirka Vasiljević
Tamara Dragičević
Tamara Vučković
Nevena Vukes
Nevenka Urbanova
Olga Spiridonović
Olivera Katarina
Olivera Marković
Sonja Kolačarić
Vladislava Đorđević
Zelda Tinska
Dubravka Mijatović
Jelena Tinska
Jelisaveta Orašanin
Seka Sablić
Nataša Ninković
Nataša Tapušković
Emina Jahović
Gordana Kamenarović
Gorica Popović
Marija Karan
Marijana Mićić
Marina Petrova
Tomanija Đuričko
Zlata Petković
Danijela Štajnfeld
Danina Jeftić
Dušica Žegarac
Eva Ras
Mira Stupica
Radmila Živković
Sloboda Mićalović
Katarina Radivojević
Ljiljana Blagojević
Nadja Regin
Ružica Sokić
Snežana Bogdanović
Svetlana Bojković
Ivana Sert
Lidija Vukićević
Vesna Trivalić
Vesna Čipčić
