Abril Zamora
Adelfa Calvo
Adriana Ozores
Adriana Ugarte
Adriana Vega
Aida Folch
Aida Oset
Aina Clotet
Ainhoa Santamaría
Aitana Sánchez-Gijón
Alba Flores
Alba Planas
Alexandra Jiménez
Alicia Agut
Alicia Hermida
Alicia Rodríguez
Alicia Rubio
Amaia Aberasturi
Amaia Salamanca
Amparo Baró
Amparo Pacheco
Ana Belén
Ana Diosdado
Ana Fernández
Ana Fernández García
Ana Jara Martínez
Ana Marzoa
Ana María Noé
Ana Mena
Ana Milán
Ana Morgade
Ana Obregón
Ana Polvorosa
Ana Torrent
Anabel Alonso
Andrea Duro
Angelines Fernández
Angy Fernández
Anna Allen Martin
Anna Castillo
Anne Igartiburu
Arancha Solis
Ariadna Gil
Ariadna Sintes
Arly Jover
Asia Ortega
Asun Ortega
Asunción Balaguer
Aura Garrido
Irene Arcos
Irene Escolar
Irene Montalà
Irene Visedo
Isabel Aboy
Isabel Torres
Azucena Hernández
Barbara Goenaga
Bea Segura
Beatriz Carvajal
Beatriz Luengo
Beatriz Rico
Begoña Maestre
Begoña Vargas
Bella Agossou
Belén Cuesta
Belén Fabra
Belén López
Belén Rueda
Berta Collado
Berta Vázquez
Blanca Estrada
Blanca Portillo
Blanca Romero
Blanca Suárez
Bruna Cusí
Bárbara Lennie
Bárbara Rey
Bárbara Santa-Cruz
Candela Serrat
Carla Campra
Carla Díaz
Carlota Baró
Carlota Boza
Carlota Olcina
Carme Contreras i Verdiales
Carmen Arrufat
Carmen Borrego
Carmen Climent
Carmen Lozano
Carmen Machi
Carmen Martínez Sierra
Carmen Ruiz
Carmen Sánchez
Carol Rovira
Carola Baleztena
Carolina Bang
Carolina Cerezuela
Carolina Yuste
Gemma Cuervo
Laia Costa
Laia Manzanares
Laia Marull
Lola Forner
Lola Gaos
Lola Herrera
Lola Marceli
Lola Rodríguez
Loles León
Lolita Flores
Lolita Sevilla
Lorena Berdún
Lorena Bernal
Lou Llobell
Magüi Mira
Miren Ibarguren
Miriam Díaz Aroca
Miriam Giovanelli
Miryam Gallego
Pastora Peña
Patricia Conde
Patricia Pérez
Patricia Vico
Teresa Gimpera
Teresa Hurtado de Ory
Teresa Riott
Mona Martínez
Olivia Delcán
Olivia Molina
Paz Padilla
Paz Vega
Sonia Martínez
Sílvia Marsó
Sílvia Munt
Vicenta Ndongo
Vicky Luengo
Vicky Martín Berrocal
Cayetana Guillén Cuervo
Cecilia Freire
Celia Freijeiro
Celia de Molina
Chanel Terrero
Ingrid García-Jonsson
Ingrid Rubio
Inma Cuesta
Inma de Santis
Jedet
Jenny Llada
Juana Acosta
Julia Gutiérrez Caba
Julia Martínez
Juncal Rivero
Milena Smit
Nerea Alias
Nerea Barros
Nerea Elizalde
Nerea Garmendia
Nieve de Medina
Denisse Peña
Fanny Gautier
Leonor Martín
Leonor Watling
Leticia Dolera
Mónica Bardem
Mónica Cruz
Mónica Estarreado
Mónica Molina
Naroa Agirre
Natalia Dicenta
Natalia Sánchez
Natalia Verbeke
Nathalie Poza
Nathalie Seseña
Vanesa Romero
Conchita Montes
Elena Ballesteros
Elena Irureta
Elena Rivera
Elena Tarrats
Elia Galera
Elisa Montés
Elisa Mouliaá
Elisa Ramírez
Elsa Pinilla Osuna
Elvira Mínguez
Elvira Quintillá
Emma Penella
Emma Suárez
Emma Vilarasau
Encarna Abad
Encarna Paso
Frances Ondiviela
Gloria Muñoz
Goya Toledo
Gracia Olayo
Laurita Valenzuela
Lina Morgan
Lina Rosales
Luisa Gavasa
Luisa Martín
Luna Fulgencio
Lydia Bosch
Malena Gracia
Mariam Hernández
Mariana Cordero
Maribel Martín
Maribel Verdú
Marifé de Triana
Marilú Elízaga
Marina Comas
Marina Gatell
Marina Salas
Marina San José
Mariola Fuentes
Marisa Porcel
Marisa de Leza
Marisol
Mariví Bilbao
Marián Aguilera
Marta Flich
Marta Hazas
Marta Larralde
Marta Milans
Marta Nieto
Marta Santaolalla
Marta Torné
Megan Montaner
Melani Olivares
Melina Matthews
Michelle Calvó
Michelle Jenner
Pilar Bardem
Pilar Bastardés
Pilar Castro
Pili and Mili
Silma López
Silvia Abascal
Silvia Abril
Silvia Alonso
Silvia Giner
Silvia Marty
Toni Acosta
Yelena Samarina
Yohana Cobo
Yola Berrocal
Yolanda Alzola
Yolanda Ramos
Àstrid Bergès-Frisbey
África Pratt
Ángela Cervantes
Ángela Cremonte
Ángela Molina
Charlotte Vega
Charo
Charo López
Chelo Vivares
Christina Ochoa
Chus Lampreave
Chusa Barbero
Clara Galle
Claudia Salas
Claudia Traisac
Dafne Fernández
Dafne Keen
Daniela Santiago
Diana Gómez
Diana Sorel
Edurne
Esmeralda Moya
Estefanía de los Santos
Ester Expósito
Esther Acebo
Esther Regina
Estíbaliz Gabilondo
Eva Hache
Eva Isanta
Eva Llorach
Eva Santolaria
Florinda Chico
Mina El Hammani
Montserrat Julió
Raquel Daina
Raquel Meroño
Cristie
Cristina Castaño
Cristina Marcos
Cristina Medina
Cristina Pedroche
Cristina Peña
Cristina Plazas
Cristina Rodríguez
Cristina Urgel
Laura Sánchez
Laura del Sol
Luchy Soto
Lucía Gil
Lucía Hoyos
Lucía Jiménez
Lucía Ramos
Mabel Lozano
Macarena García
Macarena Gómez
Manuela Velasco
Martina Cariddi
Marujita Díaz
Mary Begoña
Mary Carmen Ramírez
Mary Delgado
María Abradelo
María Barranco
María Botto
María Casal
María Castro
María Cotiello
