Anarkali Akarsha
Anoja Weerasinghe
Anoma Janadari
Anula Bulathsinhala
Anula Karunathilaka
Anusha Damayanthi
Aruni Rajapaksha
Iranganie Serasinghe
Leela Asoka
Leena de Silva
Gayathri Dias
Gayesha Perera
Geetha Kanthi Jayakody
Geetha Kumarasinghe
Gemini Kantha
Hyacinth Wijeratne
Madhavee Wathsala Anthony
Miyuri Samarasinghe
Punya Heendeniya
Sujani Menaka
Sujatha
Sujatha Paramanathan
Sumana Amarasinghe
Sunila Abeysekera
Sureni Senarath
Menik Kurukulasuriya
Pearl Vasudevi
Sarala Kariyawasam
Sonia Disa
Thesara Jayawardane
Udari Perera
Udari Warnakulasooriya
Vinu Udani Siriwardhana
Vishaka Siriwardana
Chandra Kaluarachchi
Dulani Anuradha
Duleeka Marapana
Jeevarani Kurukulasuriya
Maureen Charuni
Maureen Hingert
Nehara Pieris Rajapakse
Nethalie Nanayakkara
Nethmi Roshel
Nilmini Tennakoon
Nimmi Harasgama
Niranjani Shanmugaraja
Nita Fernando
Rebeka Nirmali
Samanalee Fonseka
Samantha Epasinghe
Seetha Kumari
Shanthi Lekha
Sheshadri Priyasad
Deepani Silva
Denawaka Hamine
G. S. B. Rani
Kusum Renu
Sriyani Amarasena
Vasanthi Chathurani
Girley Gunawardana
K. Thavamani Devi
Malini Fonseka
Michelle Dilhara
Shalani Tharaka
Sirimathi Rasadari
Yashoda Wimaladharma
Yolande Bavan
Chathurika Peiris
Chitra Wakishta
Damayanthi Fonseka
Damitha Abeyratne
Damitha Saluwadana
Devi Sakunthala
Devika Mihirani
Dilani Abeywardana
Dilhani Ekanayake
Dinakshie Priyasad
Edna Sugathapala
Jacqueline Fernandez
Jayani Senanayake
Rathna Lalani Jayakody
Rathna Sumanapala
Rathnawali Kekunawela
Mabel Blythe
Manel Wanaguru
Manike Attanayake
Paboda Sandeepani
Semini Iddamalgoda
Kaushalya Fernando
Nadeeka Gunasekara
Rukmani Devi
Susantha Chandramali
Susila Kottage
Susila Kuragama
Suvineetha Weerasinghe
Swarna Kahawita
Swarna Mallawarachchi
Himali Sayurangi
Himali Siriwardena
Ramani Bartholomeusz
Ramya Wanigasekara
Rita Ratnayake
Pooja Umashankar
Sabeetha Perera
Sachini Ayendra Stanley
Sandani Fernando
Sandhya Kumari
Sangeetha Weeraratne
Sanoja Bibile
Thalatha Gunasekara
Trilicia Gunawardena
Umali Thilakarathne
Umayangana Wickramasinghe
Veena Jayakody
