Agneta Lagerfeldt
Aino Bergö
Alexandra Rapaport
Amalia von Königsmarck
Amanda Rylander
Ami Aaröe
Angela Kovács
Anita Björk
Anita Wall
Ann-Margret
Anna Björk
Anna Hofman-Uddgren
Anna Olin
Anna Ulrica Ericsson
Annica Edstam
Augusta Lindberg
Fredrica Löf
Frida Winnerstrand
Inday Ba
Irene Lindh
Irma Christenson
Johanna Eleonora De la Gardie
Johanna Löfblad
Lena Brogren
Lena Nyman
Lena Olin
Barbro Larsson
Beata Sabina Straas
Bertha Tammelin
Betty Deland
Bianca Kronlöf
Bibi Andersson
Birgit Sergelius
Brita Sophia De la Gardie
Bullan Weijden
Carlotta Nillson
Carolina Kuhlman
Lo Kauppi
Magda Holm
MyAnna Buring
Mona Malm
Olga Andersson
Stina Hedberg
Thecla Åhlander
Tora Teje
Tova Magnusson
Viran Rydkvist
Viveca Lindfors
Viveka Seldahl
Zelma Hedin
Cecilia Frode
Dora Söderberg
Ing-Marie Carlsson
Ingrid Borthen
Josephine Alhanko
Maud Hyttenberg
Fanny Westerdahl
Gaby Stenberg
Kerstin Granlund
Kim Anderzon
Märta Torén
Wanda Rothgardt
Concordia Selander
Eleonora Säfström
Elisabeth Frisk
Elise Frösslind
Elise Hwasser
Ellen Hartman
Ellen Mattsson
Elsa Burnett
Elsa Collin
Elsa Ebbesen
Elsa Prawitz
Elsie Albiin
Emilie Högquist
Emma Meissner
Emmy Albiin
Emy Hagman
Emy Storm
Erika Höghede
Francisca Aronsson
Gerda Lundequist
Gertrud Fridh
Git Gay
Karin Albihn
Karin Franz Körlof
Karin Kavli
Karin Molander
Karin Nordgren
Karin Swanström
Lina Englund
Linda Ulvaeus
Lisette Stenberg
Lissi Alandh
Mai Zetterling
Malin Birgerson
Malin Crépin
Malin Ek
Maria Aurora von Königsmarck
Maria Franck
Marianne Bernadotte
Marianne Gyllenhammar
Marie Baptiste
Marie Göranzon
Marie Richardson
Maritta Marke
Martha Hedman
Med Reventberg
Signe Hasso
Signe Lundberg-Settergren
Sissela Benn
Charlotta Almlöf
Charlotta Eriksson
Charlotta Raa-Winterhjelm
Charlotta Seuerling
Charlotte Pousette
Christina Enbom
Ebba Maria De la Gardie
Ebba Morman
Ester Roeck-Hansen
Euphrosyne Löf
Eva Henning
Ewa Fröling
Jessie Wessel
Mary Johnson
Gunnel Broström
Gunvor Pontén
Hanna Alström
Hanna Schmitz
Hanna Styrell
Karolina Bock
Nanna Blondell
Ruth Kasdan
Ruth Stevens
Ruth Weijden
Svea Kristina Frisch
Harriet Bosse
Harriet Nordlund
Hedvig Willman
Helena Spinacuta
Hilda Borgström
Iwa Boman
Pauline Brunius
Pernilla August
Petra Brylander
Philomène Grandin
Pia Johansson
Rakel Wärmländer
Liane Linden
Lil Terselius
Lilian Johansson
Margaretha Krook
Margit Manstad
Marguerite Leslie
Sara Torsslow
Ulla Sallert
