Akihito Tsukushi
Akira Akatsuki
Aquirax Uno
Atsuko Nishida
Fumio
Hokusai
Isamu Imakake
Leiji Matsumoto
Ayami Kojima
Ayano Yamane
Bin Kashiwa
Bkub Okawa
Macoto Takahashi
Mitsuru Miura
Mitsuyo Seo
Miyama-Zero
Mutsumi Sasaki
Q Hayashida
Sui Ishida
Sukumo Adabana
Sunao Hari
Takashi Takeuchi
Takehito Harada
Takeshi Koike
Takeshi Obata
Okamoto Ippei
Peach Momoko
Riko Korie
Rin Shin
Ryu Fujisaki
Ryō Ramiya
Ryūsuke Mita
Satoko Kiyuduki
Satoshi Kitamura
Sawaki Takeyasu
Shinichi Hoshi
Shinkiro
Shinobu Tanno
Shou Tajima
Shungiku Nakamura
Shusei Nagaoka
Shūichi Higurashi
Shūzō Oshimi
Soraya Saga
Toshiki Yui
Toshio Saeki
Toshiyuki Kotani
Toyotarou
Ui Shigure
Yoshida Hanbei
Yoshihiko Funazaki
Yoshiteru Otani
Yuhki Kamatani
Yuji Himukai
Yuki Iwata
Yuki Kure
Yuko Shimizu
Chako Abeno
Jun Suemi
Junko Mizuno
Masuo Ikeda
Miki Hayasaka
Osamu Kobayashi
Reiko Terashima
Sana Takeda
Seiichi Hayashi
Kenta Shinohara
Kihachiro Ueda
Kouhaku Kuroboshi
Kumataro Ito
Kōno Bairei
Naoyuki Kato
Emiko Iwasaki
GotoP
Ilya Kuvshinov
Jū Ayakura
Kamui Fujiwara
Kaori Hamura
Kohno Michisei
Makoto Shinkai
Makoto Wada
Megumu Okada
Mel Kishida
Tomomi Kobayashi
Yasuo Segawa
Yasushi Nirasawa
Yoji Shinkawa
Chica Umino
Chitose Maki
Eiichiro Oda
Eiji Ikeda
Eiji Usatsuka
Eita Mizuno
Keibun Ōta
Keitaro Takahashi
Ken Sugimori
Kenji Tsuruta
Kenshi Yonezu
Minako Iwasaki
Kagami Yoshimizu
Mamoru Yokota
Masanori Morita
Masashi Kishimoto
Tite Kubo
Gurihiru
Hajime Sorayama
Katsumi Michihara
Kiyotaka Haimura
Na-Ga
Namio Harukawa
Naoki Saito
Naoko Takeuchi
Natsuki Sumeragi
Temari Matsumoto
Hidari
Hideko Takahashi
Hinako Takanaga
Hiromi Suzuki
Hiroshi Sasagawa
Hisashi Eguchi
Itaru Hinoue
Izumi Takemoto
Yamato Yamamoto
Noizi Ito
Norio Tsukudani
Noritsugu Oda
Noriyoshi Ohrai
Obetomo
Teruhiko Yumura
Tsuyoshi Nagano
Ume Aoki
