101 Strings
Acker Bilk
Al Hibbler
Al Martino
Alida Hisku
Anatol Dumitraș
Andy Williams
Angela Morley
Angela Similea
Antara Nandy
Arthur Prysock
Arunpong Chaiwinit
Helmut Jederknüller
Helmut Lotti
Henry Mancini
Ionel Fernic
Irma Libohova
John Gary
John Schroeder
Johnny Dorelli
Johnny Douglas
Johnny Loughrey
Johnny Pearson
Jonathan Ansell
Lenny Dee
Leo Diamond
Leo Rojas
Bas Sheva
Ben Thapa
Bert Firman
Bert Kaempfert
Bill Kenny
Bob Thompson
Brian Fahey
Burt Bacharach
Genoa Keawe
Geoff Love
George Greeley
Landon Pigg
Mitchell Ayres
Olivier Toussaint
Sarah Munro
Sonja Škorić
Tony Sandler
Victor Ivanovich Nikitin
Vince Cardell
Vince Hill
Wim Overgaauw
Zameer Rizvi
Cezary Ostrowski
Charles Magnante
Charles Trenet
Duncan Campbell
Jean-Jacques Perrey
Jean Baudlot
Josh Groban
José Padilla
Juan García Esquivel
Julie Rogers
Julienne Taylor
Matt Monro
Mike Christie
Mike Harding
Nick Palance
Nicolas de Angelis
Rebekah Del Rio
Red Hurley
Sharon Robinson
Shea Arender
Gary Beisbier
Gary Williams
Kevin Cronin
Kyōhei Tsutsumi
Leonid Kharitonov
Letizia Gambi
Mayukh Hazarika
Mădălina Manole
Nat King Cole
Natalie Di Luccio
Val Doonican
Walter Wanderley
Wout Steenhuis
Catherine Porter
Elizaveta Khripounova
Elmo Tanner
Eri Nobuchika
Franco Califano
Frank Chacksfield
Frank Ifield
Frankie Carle
Frankie Laine
Frankie Masters
Frankie Vaughan
Georgi Vinogradov
Gheorghe Zamfir
Gianni Bedori
Giuni Russo
Ike Moriz
Karen Carpenter
Maisey Rika
Marjorie Hughes
Markus Haider
Meco
Syd Dale
Chris Skinner
Dana Dragomir
Daniel O'Donnell
Danilla Riyadi
David Benoit
David Carroll
David Jenkins
David Young
David Young
Dawn Martin
Dick Cathcart
Dvar
Eamonn McCrystal
Ed Lincoln
Eddie Calvert
Edmund Hockridge
Evgeny Belyaev
Jack Johnson
Jean-Claude Borelly
Jerry Keller
Jerry Paper
Jerry Vale
Jerry Wallace
Jim Tomlinson
Jimmy Buffett
JoAnne Lorenzana
Mort Garson
Raúl Di Blasio
Ladi Geisler
Laura Shay
Mary Byrne
Mason Williams
P. J. Proby
Slim Whitman
Timir Biswas
Jose Mari Chan
Joseph Gian
Klaus Wunderlich
Knut Schreiner
Nana Mouskouri
Rumer
Susan Jacks
Ted Straeter
Uwe Schmidt
Vadim Kapustin
Éric Mouquet
Şehrazat
Harold Betters
Paul Mauriat
Paul Weston
Paul de Senneville
Pavlina Nikaj
Peter Skellern
Rajka Vali
Marc Roberts
Nora Orlandi
Richard Clayderman
Rosie and the Originals
Saharat Sangkapreecha
Thanakrit Panichwid
Vyacheslav Mescherin
