Ada Leonard
Adele Girard
Al Casey
Al Klink
Al Martino
Alexis Cole
Alfred "Chico" Alvarez
Alix Combelle
Allan Reuss
Alvino Rey
Andrea Motis
Andy White
Arnett Cobb
Artie Shaw
Fred Guy
Freddie Green
Freddie Slack
Freddy Nagel
Helmut Zacharias
Irv Williams
Irving Ashby
Joey McIntyre
John Goetchius
John Pizzarelli
John Rae
John Stevens
Johnny Dorelli
Johnny Gimble
Johnny Guarnieri
Johnny Hodges
Johnny Long
Johnny Meijer
Johnny Mince
Johnny Nicol
Jonah Jones
Lee Vincent
Lena Prima
Lenny Dee
Lenny Hambro
Leo Aberer
Leon Hefflin, Sr.
Ayako Shirasaki
Barbara Lea
Barney Bigard
Beantown Swing Orchestra
Ben Pollack
Benny Carter
Benny Goodman
Bernard Addison
Bernie Cummins
Bert Niosi
Beryl Booker
Big Jim Wynn
Big Joe Turner
Big Sandy & His Fly-Rite Boys
Bill Barber
Bill Doggett
Bill Hughes
Billie Rogers
Billy Butterfield
Billy Mitchell
Billy Mure
Billy Strayhorn
Billy Ternent
Billy Tipton
Biréli Lagrène
Blossom Dearie
Bob Crosby
Bob Curnow
Bob McCracken
Bobby Hammack
Bobby Rosengarden
Bobby Sherwood
Bobby Short
Bobby Tucker
Brittany Brooks
Brooks Brown
Buck Clayton
Bucky Pizzarelli
Buddy Arnold
Buddy Morrow
Buddy Rich
Buddy Tate
Buster Bailey
Buster Harding
Buster Smith
Cab Calloway
Cal Collins
Carmen Villani
Caro Emerald
Casey Hensley
Gene Krupa
George Barnes
George Finola
George Olsen
George Shearing
George Van Eps
Ian Date
Lalo Guerrero
Lance Ellington
Louie Bellson
Louis Prima
Louis Prima Jr.
Louis de Vries
Murray Kane
Murray Kellner
Pat Patrick
Patience Higgins
Stan Keller
Stan Kenton
Stan Mark
Stéphane Grappelli
Tal Henry
Mercer Ellington
Peanuts Holland
Peanuts Hucko
Pee Wee Erwin
Pokey LaFarge
Richard Maltby Sr.
Rick Vito
Sonny Igoe
Steve Perry
Stochelo Rosenberg
Tab Smith
Victory Sweethearts
Vlasta Průchová
Willie Gant
Yusef Lateef
Zeke Zarchy
Champian Fulton
Charlie Byrd
Charlie Christian
Charlie Green
Doc Cheatham
Don Byas
Don Lamond
Don Peachey
Don Raffell
Don Redman
Don Wise
Duck Baker
Duke Robillard
Jean-Michel Soupraya
Josette Daydé
Jukka Haavisto
Matty Matlock
Mike Bryan
Milenita
Neil Peart
Oscar Alemán
Roy Eldridge
Roy Fox
Roy Harte
Ruby Braff
Sammy Kaye
Scott Hamilton
Sheila Majid
Shelton Hemphill
Tia Brazda
Tilahun Gessesse
Dennis F. Parker
Dennis Lotis
Fats Waller
Fess Williams
Gonzalo Alcaín
Kim Nalley
Kinderjazz
Les Brown
Max Kaminsky
Max Raabe
Maxine Sullivan
Michael Ausserbauer
Michael Falzon
Nat Jaffe
Val Doonican
Walter Murphy
Walter Page
Wardell Gray
Wilbur de Paris
Woody Herman
Wynonie Harris
Coleman Hawkins
Count Basie
Count Basie Orchestra
Cozy Cole
Emir Vildić
Frank Bennett
Frank Vignola
Frankie Lymon
Gerald Ross
Geraldo
Gerry Beaudoin
Gilles Apap
Glenn Crytzer
Gloria Whitney
Ike Cole
Ike Moriz
Ike Quebec
Illinois Jacquet
Karel Gott
Laurie Johnson
Lavay Smith
Lionel Hampton
Luke Kennedy
Marian McPartland
Marilyn Duke
Mario Monterosso
Michael Waldrop
Mickey Sheen
Pierre Lacocque
Simona Molinari
Spencer Day
Stephanie Nakasian
Steve Lawrence
Sylvain Luc
Tom Kennedy
Tommy Dorsey
Tommy Smith
Toni Aubin
Tony Aless
Yank Lawson
Ziggy Elman
Chris Barber
Chris Flory
Chris Julian
Chris Murphy
Chu Berry
Chuck Brown
Chuck Wayne
Clarence "Gatemouth" Brown
Claude Jones
Cleveland Eaton
Clyde Hurley
Dan Hicks
Dana Heitman
Darius Campbell Danesh
Dave Bartholomew
Dave Frishberg
Dave Matthews
Dave McKenna
David Rokeach
Dawn Hampton
Deane Janis
Dexter Gordon
Dick Cary
Dick Hyman
Dick Nash
Dick Willebrandts
Dill Jones
Dimie Cat
Dustin Lanker
Earl Bostic
Earl Hines
Eddie "Lockjaw" Davis
Eddie Bert
Eddie Condon
Eddie Lang
Edmond Hall
Edythe Wright
Einar Aaron Swan
Evelyn Freeman Roberts
Fletcher Henderson
Flip Phillips
Floyd Domino
Hughie Charles
Jack Lesberg
Jack McVea
Jack Melick
