Abi Masatora
Akebono Tarō
Akinoshima Katsumi
Akinoshū Kenji
Akinoumi Setsuo
Akiseyama Mitsuhiko
Akua Shōma
Amakaze Kōichi
Amanoyama Shizuo
Amatsukaze Masao
Aminishiki Ryūji
Amūru Mitsuhiro
Aobajō Yukio
Aobayama Hirotoshi
Aogiyama Hideki
Aoiyama Kōsuke
Aonosato Sakari
Aotsurugi Kenta
Araiwa Kamenosuke
Aran Hakutora
Arase Nagahide
Arashiyama Jirō
Arawashi Tsuyoshi
Asaarashi Daizaburo
Asabenkei Daikichi
Asagyokusei Taiko
Asahifuji Seiya
Asahikuni Masuo
Asahisato Kenji
Asahishō Kōta
Asahiyutaka Katsuteru
Asanobori Toshimitsu
Asanosho Hajime
Asanowaka Takehiko
Asanoyama Hiroki
Asasegawa Takeya
Asasekiryū Tarō
Asashio Tarō III
Asashio Tarō IV
Asashōryū Akinori
Asōfuji Seiya
Fujiazuma Kazuyoshi
Fujinishiki Akira
Fujinokawa Takeo
Fujinoshin Tsukasa
Fujizakura Yoshimori
Fukunohana Koichi
Fusanishiki Katsuhiko
Hitachiiwa Eitarō
Hitachiyama Taniemon
Hokuseihō Osamu
Hokuten'yū Katsuhiko
Hokutofuji Daiki
Hokutoumi Nobuyoshi
Hokutōriki Hideki
Inazuma Raigorō
Ishinriki Kōji
Ishiura Shikanosuke
Itai Keisuke
Azumafuji Kin'ichi
Azumanishiki Eizaburo
Azumaryū Tsuyoshi
Banryūyama Takaharu
Baruto Kaito
Bishūyama Jun'ichi
Bushozan Kotaro
Bushūyama Takashi
Buyūzan Takeyoshi
Hōchiyama Kōkan
Hōmashō Noriyuki
Hōshōryū Tomokatsu
Hōō Tomomichi
Maedagawa Katsu
Maedayama Eigorō
Maenoshin Yasuo
Maenoyama Tarō
Misugiiso Takuya
Misugisato Kōji
Mitakeumi Hisashi
Mitoizumi Masayuki
Mitoryū Takayuki
Mitsuneyama Keiji
Miyabiyama Tetsushi
Miyagino Nishikinosuke
Miyagiyama Fukumatsu
Musashimaru Kōyō
Musashiyama Takeshi
Musōyama Masashi
Mutsuarashi Yukio
Taiga Satoru
Taihō Kōki
Taikō Yoshio
Takagenji Satoshi
Takakeishō Mitsunobu
Takakentō Terutora
Takamisakari Seiken
Takamisugi Takakatsu
Takamiyama Daigorō
Takamiyama Torinosuke
Takanofuji Sanzō
Takanohana Kenshi
Takanohana Kōji
Takanoiwa Yoshimori
Takanomine Akihiko
Takanonami Sadahiro
Takanosato Toshihide
Takanoshō Nobuaki
Takanotsuru Shinichi
Takanowaka Yūki
Takanoyama Shuntarō
Takarafuji Daisuke
Takarakuni Minoru
Takashi Ishikawa
Takatōriki Tadashige
Takayasu Akira
Takekaze Akira
Tamaarashi Kōhei
Tamaasuka Daisuke
Tamagaki Gakunosuke
Tamakairiki Tsuyoshi
Tamakasuga Ryōji
Tamanishiki San'emon
Tamanofuji Shigeru
Tamanoshima Arata
Tamanoumi Daitarō
Tamanoumi Masahiro
Tamarikidō Hideki
Tamaryū Daizō
Tamatsubaki Kentarō
Tamawashi Ichirō
Tanikaze Kajinosuke
Tatsuhikari Kumagoro
Taylor Wily
Tenkaihō Takayuki
Tenryū Saburō
Tensuiyama Masanori
Terao Tsunefumi
Oikawa Teruhisa
Oiteyama Hirokuni
Okanoyama Yoshiro
Okinoumi Ayumi
Rikidōzan
Ryōgoku Kajinosuke II
Ryōgoku Kajinosuke IV
Ryūden Gōshi
Ryūhō Masayoshi
Ryūko Seihō
Ryūkō Gō
Ryūkōzan Kazuto
Ryūō Noboru
Sasshūnada Yasutaka
Satoyama Kōsaku
Sawahikari Yukio
Shimanoumi Koyo
Shimizugawa Motokichi
Shimotori Norio
Shionoumi Unemon
Shiranui Dakuemon
Shiranui Kōemon
Shiratayama Hidetoshi
Shishihō Yoshimasa
Shobushi Kanji
Shunketsu Yūji
Shōdai Naoya
Shōhōzan Yūya
Shōnanzakura Sōta
Shōtenrō Taishi
