Andreas Karantinos
Antonios Skordilis
Ioanni Korai
Ioannis Kornaros
Ioannis Moskos
Ioannis Skordilis
Iakovos Moskos
Stylianos Devaris
Stylianos Stavrakis
Nikolaos Doxaras
Nikolaos Kallergis
Nikolaos Kantounis
Nikolaos Koutouzis
Defterevon Sifnios
Demetrios Nomikos
Demetrios Stavrakis
Georgios Kastrofylakas
Georgios Markou
Georgios Nomikos
Gerasimos Pitsamanos
Konstantin Kapıdağlı
Konstantinos Kontarinis
Makarios
Michael Prevelis
Spiridione Roma
Spyridon Sperantzas
Spyridon Ventouras
Stephanos Tzangarolas
Christodoulos Kalergis
Dionysios of Fourna
Efstathios Karousos
Eustație Altini
Panagiotis Doxaras
