Alexander Philadelpheus
Andreas Kriezis
Angelos Giallinas
Arkhip Kuindzhi
Ioanni Korai
Ioannis Altamouras
Ioannis Doukas
Ioannis Kornaros
Ioannis Koutsis
Ioannis Oikonomou
Ioannis Zacharias
Iosifina Dimas-Ziller
Iakovos Rizos
Périclès Pantazis
Stylianos Devaris
Stylianos Miliadis
Polychronis Lembesis
Savvas the New of Kalymnos
Sophia Laskaridou
Theodoros Vryzakis
Theophilos Hatzimihail
Charalambos Pachis
Jean Xceron
Nikiforos Lytras
Nikolaos Alektoridis
Nikolaos Dragoumis
Nikolaos Gyzis
Nikolaos Himonas
Nikolaos Kantounis
Nikolaos Koutouzis
Nikolaos Lytras
Nikolaos Vokos
Nikolaos Xydias Typaldos
Théodore Ralli
Defterevon Sifnios
Demetrios Galanis
Kyriak Kostandi
Vasileios Hatzis
Constantino Brumidi
Eleni Boukoura-Altamoura
Emmanouil Lampakis
Epameinondas Thomopoulos
Georgios Chatzopoulos
Georgios Jakobides
Georgios Prokopiou
Gerasimos Pitsamanos
Gerasimos Vokos
Konstantin Kapıdağlı
Konstantinos Maleas
Konstantinos Volanakis
Makarios
Michalis Oikonomou
Spyridon Prosalentis
Spyridon Sperantzas
Spyridon Ventouras
Spyridon Vikatos
Spyros Paliouras
Dionysios Tsokos
Dionysios Vegias
Efstathios Karousos
Eustație Altini
Kleoniki Gennadiou
Periklis Tsirigotis
Petros Roumpos
Panagiotis Zographos
Odysseas Phokas
Thalia Flora-Karavia
