Adomas Galdikas
Albinas Elskus
Aldona Ličkutė-Jusionienė
Algis Skačkauskas
Alina Briedelytė-Kavaliauskienė
Antanas Jaroševičius
Antanas Žmuidzinavičius
Arbit Blatas
Arno Nadel
Arvydas Bagdžius
Irena Trečiokaitė-Žebenkienė
Jonas Kaupys
Jonas Kvederavičius
Balys Macutkevičius
Ber Zalkind
Bernardas Bučas
Boleslovas Klova
Gediminas Baravykas
Gražina Didžiūnaitytė
Olga Dubeneckienė
Rimantas Šulskis
Vitalija Bartkuvienė
Vladas Jankauskas
Vladimiras Dubeneckis
William Zorach
José Gurvich
Juozas Jankus
Juozas Kamarauskas
Juozas Kaminskas
Mikalojus Konstantinas Čiurlionis
Feliksas Daukantas
Ignas Budrys
Konstancija Brundzaitė
Lazar Krestin
Marija Bankauskaitė
Steponas Kazimieraitis
Zoma Baitler
Czeslaw Znamierowski
Dalia Juknevičiūtė
Danutė Eidukaitė
Eugenijus Mindaugas Budrys
Jaronimas Kastytis Juodikaitis
Kazimieras Naruševičius
Kazys Šimonis
Lasar Segall
Vaclava Fleri
Paulius Jurkus
Petras Kalpokas
Lidija Meškaitytė
Ona Baliukonė
Ričardas Bartkevičius
Pranas Domšaitis
Romas Dalinkevičius
Vsevolodas Dobužinskis
Vytautas Kazimieras Jonynas
Vytautas Pranas Bičiūnas
Vytautas Tomaševičius
Vytautas Valius
Vytautas Vičiulis
