Abraham Straski
Adam Gerżabek
Adam Kossowski
Adam Marczyński
Adam Muszka
Adolf Behrman
Adolf Eduard Herstein
Adolf Hyła
Agata Materowicz
Aleksander Augustynowicz
Aleksander Jędrzejewski
Aleksander Kobzdej
Aleksander Kłopotowski
Aleksander Sołtan
Aleksander Żywiecki
Aleksandra Urban
Alfons Dunin-Borkowski
Alfons Karpiński
Alfred Aberdam
Alfred Kowalski
Alfred Krupa
Andre de Krayewski
Andrzej Jerzy Mniszech
Andrzej Jurkiewicz
Andrzej Kowalski
Andrzej Krauze
Andrzej Marian Bartczak
Andrzej Pawłowski
Andrzej Pronaszko
Andrzej Stypiński
Andrzej Wróblewski
André Pijet
Aniela Cukier
Aniela Pawlikowska
Anna Ziaja
Antoni Gramatyka
Antoni Piotrowski
Apoloniusz Kędzierski
Artur Markowicz
Henoch Barczyński
Henryk Berlewi
Henryk Gotlib
Henryk Hryniewski
Henryk Józewski
Henryk Siemiradzki
Henryk Stażewski
Irene Lieblich
Irene Monat Stern
Leon Chwistek
Leon Dołżycki
Leon Wyczółkowski
Barbara Massalska
Barbara Zbrożyna
Benon Liberski
Bernard Zakheim
Bogdan Korczowski
Bogna Krasnodębska-Gardowska
Bogumił Książek
Boguslaw Szwacz
Bogusław Bachorczyk
Boleslaw Cybis
Bolesław Barbacki
Bolesław Biegas
Bolesław Surałło
Bronisław Chromy
Bronisław Linke
Bronisława Łukaszewicz
Bruno Schulz
Casimir Markievicz
Gela Seksztajn
Stanislaw Przespolewski
Stanisław Baj
Stanisław Bergman
Stanisław Dębicki
Stanisław Grocholski
Stanisław Ignacy Witkiewicz
Stanisław Kaczor-Batowski
Stanisław Kamocki
Stanisław Kubicki
Stanisław Kuczborski
Stanisław Lentz
Stanisław Masłowski
Stanisław Prauss
Stanisław Szukalski
Stanisław Witkiewicz
Stanisław Wyspiański
Stanisława de Karłowska
Stasys Eidrigevičius
Tamara de Lempicka
Teodor Axentowicz
Teofil Ociepka
Teresa Żarnowerówna
Olga Boznańska
Olga Lewicka
Paweł Bielec
Paweł Dadlez
Paweł Kowalewski
Shimshon Holzman
Sonia Lewitska
Sławomir Ratajski
Tadeusz Ajdukiewicz
Tadeusz Brzozowski
Tadeusz Dominik
Tadeusz Dowgird
Tadeusz Gronowski
Tadeusz Kantor
Tadeusz Makowski
Tadeusz Myslowski
Tadeusz Pruszkowski
Tadeusz Rychter
Tadeusz Żukotyński
Vladimir de Terlikowski
Wincenty Trojanowski
Wincenty Wodzinowski
Zbigniew Czech
Zbigniew Dłubak
Zbigniew Nowosadzki
Zbigniew Żupnik
Zbylut Grzywacz
Zdzisław Beksiński
Zdzisław Jasiński
Zdzisław Suchodolski
Zefiryn Ćwikliński
Caziel
Chaim Goldberg
Jeremi Kubicki
Joshua Budziszewski Benor
Julian Stanczak
Mikołaj Wisznicki
Samuel Finkelstein
Fanny Rabel
Felicjan Kowarski
Feliks Topolski
Fyodor Buchholz
Kiejstut Bereźnicki
Krystyna Dąbrowska
Krystyna Wróblewska
Krzysztof Gliszczyński
Krzysztof Jung
Leonia Janecka
Leopold Gottlieb
Leopold Pilichowski
Leszek Nowosielski
Maurycy Trębacz
Max Weber
Maxim Bugzester
Nathan Wasserberger
Wanda Pleszczyńska
Wiktor Podoski
Wiktor Sadowski
Władysław Czachórski
Władysław Drapiewski
Władysław Hasior
Władysław Jarocki
Władysław Rząb
Władysław Strzemiński
Władysław Wankie
Władysław Ślewiński
Włodzimierz Antkowiak
Włodzimierz Bartoszewicz
Włodzimierz Szymanowicz
Włodzimierz Tetmajer
Włodzimierz Zakrzewski
Eligiusz Niewiadomski
Erna Rosenstein
Franciszek Kostrzewski
Franciszek Żmurko
Franciszka Themerson
Gloria Kossak
Ignacy Pieńkowski
Ilya Schor
Józef Bełch
Józef Brandt
Józef Cempla
Józef Chełmoński
Józef Czapski
Józef Holewiński
Józef Korolkiewicz
Józef Krasnowolski
Józef Mehoffer
Józef Męcina-Krzesz
Józef Oźmin
Józef Pankiewicz
Józef Rapacki
Józef Skrobiński
Józef Sękalski
Konrad Krzyżanowski
Konrad Srzednicki
Konstanty Brandel
Konstanty Górski
Konstanty Laszczka
Konstanty Mackiewicz
Lech Rzewuski
Maja Berezowska
Maria Brodacka
Maria Dulębianka
Maria Dunin
Maria Jarema
Maria Rużycka
Maria Łunkiewicz-Rogoyska
Marian Czapla
Marian Iwańciów
Marian Szczyrbuła
Marian Turwid
Marian Walentynowicz
Mariusz Zaruski
Marja Obrębska
Michał Boruciński
Michał Bylina
Michał Gorstkin-Wywiórski
Mieczysław Baryłko
Mieczysław Kościelniak
Mieczysław Szczuka
Pinchas Burstein
Piotr Abraszewski
Piotr Stachiewicz
Seweryn Bieszczad
Simon Segal
Stefan Bakałowicz
Stefan Filipkiewicz
Stefan Garwatowski
Stefan Gierowski
Stefan Knapp
Stefan Mrożewski
Tomasz Vetulani
Zofia Albinowska-Minkiewiczowa
Zofia Atteslander
Zofia Dziurzyńska-Rosińska
Zofia Romer
Zofia Stryjeńska
Zofia Wojciechowska-Grabska
Zygmunt Ajdukiewicz
Zygmunt Andrychiewicz
Zygmunt Grabowski
Zygmunt Haupt
Zygmunt Kamiński
Zygmunt Rozwadowski
Zygmunt Waliszewski
Czesław Idźkiewicz
Danuta Joppek
Edmund Bartłomiejczyk
Edmund Cieczkiewicz
Edward Okuń
Edward Rydz-Śmigły
Edward Łazikowski
Erwin Elster
Eugene Horak
Eugeniusz Arct
Eugeniusz Kazimirowski
Eugeniusz Molski
