Alexander Mohr
Alexej von Jawlensky
Franz Nölken
Friedrich von Bömches
Fritz Stuckenberg
Bernhard Hoetger
Carl Heidenreich
Carle Hessay
Georg Philipp Wörlen
Georg Schrimpf
Georg Tappert
George Grosz
Richard Simon
Cesar Klein
Dora Bromberger
Otto Dix
Otto Gleichmann
Otto Mueller
Otto Neumann
Rudolf Kortokraks
Gabriele Münter
Käthe Kollwitz
Käthe Schuftan
Lette Valeska
Max Beckmann
Max Kaus
Max Pechstein
Walter Gramatté
Conrad Felixmüller
Elfriede Lohse-Wächtler
Else Meidner
Else Sehrig-Vehling
Emil Nolde
Erich Buchholz
Erich Heckel
Erich Kahn
Franz Bronstert
Franz Marc
Karl Caspar
Maria Caspar-Filser
Marta Worringer
Steffen Thomas
Christian Rohlfs
Christian Schad
Egon Tschirch
Ernst Ludwig Kirchner
Curt Echtermeyer
Curt Stoermer
Lovis Corinth
Ludwig Meidner
Wilhelm Morgner
Hanns Bolz
Karl Hofer
Karl Schmidt-Rottluff
Rolf Nesch
Hans Brasch
Hedwig Marquardt
Heinrich Campendonk
Heinz Tetzner
Paula Modersohn-Becker
Philipp Bauknecht
Margret Hofheinz-Döring
Wenzel Hablik
