Adalbert Erdeli
Adolf Fényes
Adolf Hirémy-Hirschl
Alfréd Réth
Andor Basch
Antal Berkes
Antal Ligeti
Anton Zilzer
Armand Schönberger
Arthur Pan
Artúr Lajos Halmi
Henrik Heintz
Henrik Weber
Imre Szobotka
István Burchard-Bélaváry
István Csók
István Farkas
István Nagy
István Szőnyi
Balázs Diószegi
Béla Apáti Abkarovics
Béla Czóbel
Béla Kondor
Béla Kontuly
Béla Kádár
Béla Nagy Abodi
Béla Pállik
Béla Spányi
Lajos Bruck
Lajos Deák Ébner
Lajos Gulácsy
Lajos Kassák
Lajos Kolozsváry
Lajos Markos
Lajos Tihanyi
Lajos Vajda
Pál Böhm
Pál Fried
Pál Szűcs
Pál Vágó
Tamás Lossonczy
Olivér Pittner
Róbert Berény
Róbert Byssz
Sándor Bihari
Sándor Bortnyik
Sándor Brodszky
Sándor Ziffer
Viktor Madarász
Viktor Olgyai
Viktor de Jeney
Vilmos Huszár
Gyula Aggházy
Gyula Basch
Gyula Batthyány
Gyula Benczúr
Gyula Czimra
Gyula Derkovits
Gyula Madarász
Gyula Tornai
György Vastagh
Géza Dósa
Géza Mészöly
Géza Peske
Géza Udvary
Jenő Barcsay
Jenő Gyárfás
Jenő Jendrassik
Jenő Medveczky
Jenő Szervánszky
Mihály Kovács
Mihály Zichy
Miklós Barabás
Oszkár Nagy
Ottó Baditz
Tibor Czorba
Ferenc Berényi
Ferenc Hatvany
Ferenc Helbing
Ferenc Újházy
Károly Brocky
Károly Ferenczy
Károly Kernstok
Károly Patkó
Mór Adler
Elmyr de Hory
Emil Szittya
Emile Lahner
Endre Bálint
Endre Szász
János Jankó
János Mattis-Teutsch
János Nagy Balogh
János Tornyai
János Valentiny
János Vaszary
József Borsos
József Egry
József Haller
József Koszta
József Molnár
József Rippl-Rónai
Július Jakoby
László Dombrovszky
László Mednyánszky
László Ney
László Paál
Simon Hollósy
Zoltán Nuridsány
Zsolt Bodoni
Árpád Basch
Árpád Feszty
Edmund Tull
Ernő Bánk
Ernő Koch
Ernő Tibor
Ervin Bossányi
Ervin Plány
Hugo Scheiber
Jakab Marastoni
Gustav Morelli
Gusztáv Kelety
Karoly Grosz
Ödön Márffy
Ivan Radović
Octavian Smigelschi
Rezső Bálint
