Anna Caselberg
Audrey Eagle
Freda Simmonds
Irene Ferguson
Bessie Christie
Beth Zanders
Betty Curnow
Lois McIvor
Star Gossage
Olivia Spencer Bower
Peggy Spicer
Sarah Munro
Shona Rapira Davies
Vida Steinert
Viola Macmillan Brown
Dorothy Manning
Dorothy Robertson
Jeanne Macaskill
Jeena Shin
Jenny Campbell
Julia Morison
Juliet Valpy
Nicola Farquhar
Nicola Jackson
Kim Pieters
Constance Bolton
Elise Mourant
Elizabeth Thomson
Elizabeth Wallwork
Ella Spicer
Ellen Jeffreys
Frances Rutherford
Gladys Anderson
Grace Butler
Linda James
Marilynn Webb
Marion Tylee
Sina Woolcott
Stella Corkery
Sylvia Siddell
Chrystabel Aitken
Claudia Pond Eyley
Diane Prince
E. Rosa Sawtell
Edith Wall
Eileen Mayo
Esther Hope
Fiona Connor
Joan Dukes
Rata Lovell-Smith
Mabel Hill
Mary Alexander Park
Mary McIntyre
Mary Taylor
Mary Wirepa
Mary Young Hunter
Selina Foote
Gretchen Albrecht
Jane Evans
Kate Sperrey
Kathleen Salmond
Liz Maw
Sofia Minson
Susan Skerman
Suzanne Goldberg
Heather Straka
Helen Brown
Helen Rockel
Helen Stewart
Ivy Fife
Pauline Morse
Pauline Thompson
Lily Laita
Margaret Stoddart
Rhona Haszard
Rose Zeller
Rosemary Campbell
Saffronn Te Ratana
Sara Hughes
Tui McLauchlan
