Aleksander Żywiecki
Apolinary Kotowicz
Henryk Weyssenhoff
Stanisław Masłowski
Stanisław Tondos
Tadeusz Popiel
Zefiryn Ćwikliński
Leopold Niemirowski
Napoleon Orda
Franciszek Kostrzewski
Józef Peszka
Józef Rapacki
Józef Szermentowski
Konrad Krzyżanowski
Michał Gorstkin-Wywiórski
Seweryn Bieszczad
Stefan Filipkiewicz
Zygmunt Andrychiewicz
Czesław Idźkiewicz
Rafał Malczewski
Ludomir Benedyktowicz
Ludwik Konarzewski
Ludwik Misky
Jan Nepomucen Głowacki
Jan Rubczak
Jan Stanisławski
Hiacynt Alchimowicz
Wacław Zawadowski
