Adonis Santa Maria
Adrian Wong
Alex Compton
Alex Nuyles
Allan Salangsang
Antoine Wright
Arizona Reid
Froilan Baguion
Henry Walker
Joey Mente
John Ferriols
Jojo Tangkay
Leonard Santillan
Beau Belga
Bradwyn Guinto
Bruno Šundov
Mo Charlo
Terrence Watson
Richard Ross
Rick Jackson
TY Tang
Don Dulay
Don Trollano
Doug Kramer
Jeff Chan
Josh Dollard
Josh Vanlandingham
Junjun Cabatu
Mike Hrabak
Mike Tolomia
Nic Belasco
Niño Gelig
Reggie Johnson
Shawn Taggart
Trevis Jackson
Denver Lopez
Denzel Bowles
Gabe Norwood
Kris Rosales
Maverick Ahanmisi
Corey Santee
Gherome Ejercito
Gilbert Lao
Mark Andaya
Mark Borboran
Mark Isip
Mark Telan
Sidney Onwubere
Chito Jaime
Chris Exciminiano
Chris Tiu
Dior Lowhorn
E.J. Feihl
Ed Daquioag
Eddie Laure
Estong Ballesteros
Jai Lewis
Jason Keep
Javee Mocon
Jay-R Reyes
Jay Washington
Jeric Teng
Jericho Cruz
Jerramy King
Jervy Cruz
Jewel Ponferada
Jireh Ibañes
Joe Devance
RJ Jazul
Raymond Almazan
Larry Rodriguez
James Yap
Jonathan Uyloan
Josan Nimes
Kayel Locke
Ryan Araña
Sol Mercado
Hassan Adams
J'Nathan Bullock
J. R. Quiñahan
Paul Lee
Wayne Chism
Marcy Arellano
Rob Wainwright
Norbert Torres
Rey Nambatac
Ronjay Buenafe
Ronnie Matias
Wendell McKines
