Abram Arkhipov
Aleksandr Borisov
Aleksandr Deyneka
Aleksei Gritsai
Alexander Akopov
Alexander Grigoriev
Alexander Koroviakov
Alexander Naumov
Alexander Semionov
Alexei Eriomin
Alexei Savrasov
Alexey Parygin
Anatoli Nenartovich
Andrey Yefimovich Martynov
Anton Legashov
Arkady Rylov
Arkhip Kuindzhi
Irina Baldina
Isaac Levitan
Boris Korneev
Boris Stepanovich Petrov
Gennady Ovcharenko
Pyotr Ilyich Bilan
Pyotr Ivanovich Sholokhov
Taisia Afonina
Tatiana Godovalnikova
Olga Zhekulina
Victor Korovin
Viktor Zarubin
Vladimir Kozlovsky
Vladimir Ovchinnikov
Dmitry Oboznenko
Julia Dolgorukova
Julius von Klever
Mikhail Demyanov
Mikhail Guzhavin
Mikhail Kaneev
Mikhail Nesterov
Mikhail Sazhin
Mikhail Tkachev
Nicholas Roerich
Nikanor Chernetsov
Nikolai Clodt von Jürgensburg
Nikolai Galakhov
Nikolai Shulpinov
Nikolai Timkov
Nikolai Vasilievich Kuzmin
Nikolay Anokhin
Nikolay Dubovskoy
Samuil Nevelshtein
Fyodor Alekseyev
Fyodor Matveyev
Fyodor Vasilyev
Leonid Mezheritski
Lev Lagorio
Lev Orekhov
Vasily Polenov
Constantin Kousnetzoff
Georgy Nissky
German Tatarinov
Konstantin Korovin
Konstantin Kryzhitsky
Konstantīns Visotskis
Marina Kozlovskaya
Simon Kozhin
Yaroslav Nikolaev
Yegor Meyer
Yelena Osipova
Yelena Zhukova
David Shterenberg
Semyon Shchedrin
Serhiy Svetoslavsky
Joseph Pavlishak
Sofia Sukhovo-Kobylina
Sokrat Vorobyov
Ivan Aivazovsky
Ivan Fedorovich Choultsé
Ivan Shishkin
Ivan Yendogurov
Pavel Otdelnov
Vsevolod Bazhenov
