Abram Arkhipov
Aleksandr Deyneka
Aleksandr Sokolov
Aleksei Gritsai
Alexander Grigoriev
Alexander Rizzoni
Alexander Zaytsev
Alexandr Shilov
Alexey Tyranov
Anatoli Levitin
Andrei Belloli
Andrei Mylnikov
Andrey Esionov
Andrey Myagkov
Anton Legashov
Boris Fogel
Gennady Ovcharenko
Genrikh Pavlovsky
George Washington Lambert
Louis Caravaque
Pyotr Ivanovich Sholokhov
Pyotr Sokolov
Tatiana Godovalnikova
Oleg Eremeev
Victor Oreshnikov
Viktor Bobrov
Vladimir Borovikovsky
Vladislav Anisovich
Dmitry Levitzky
Joseph Tepper
Mikhail Avilov
Mikhail Bobyshov
Mikhail Nesterov
Mikhail Scotti
Mikhail Terebenyov
Nikas Safronov
Nikolai Bodarevsky
Nikolai Brandt
Nikolai Grandkovsky
Nikolai Vasilievich Kuzmin
Nikolay Dmitrievich Mylnikov
Nikolay Maykov
Otto Friedrich Theodor von Möller
Ruben Zakharian
Fyodor Rokotov
Leonid Efros
Leonid Mezheritski
Leontiy Miropolskiy
Lev Chegorovsky
Lev Igorev
Natalie Holland
Valentin Serov
Varlen Pen
Vasily Khudyakov
Vasily Tropinin
Vasily Volkov
Elena Nikandrovna Klokacheva
Georgy Shishkin
Gevork Kotiantz
Ilya Repin
Konstantin Korovin
Konstantin Makovsky
Stepan Privedentsev
Yelena Osipova
Zinovy Vilensky
David Shterenberg
Martiros Saryan
Semion Abugov
Semion Rotnitsky
Sergei Babkov
Sergei Pavlenko
Sergey Malyutin
Sergey Zaryanko
Joseph Pavlishak
Joseph Serebriany
Sofia Sukhovo-Kobylina
Ivan Argunov
Ivan Tarkhanov
Ivanna Lemaître
Pavel Chistyakov
Pavel Fedotov
Pavel Kolendas
Pavel Korin
Pavel Pleshanov
Orest Kiprensky
Platon Tyurin
