Adolphe Féder
Aleksei Ilyich Kravchenko
Alex And
Alexander Bogomazov
Alexander Kostetsky
Alexander Litovchenko
Alexander Osmerkin
Alexander Voytovych
Alexander Zhyvotkov
Alexandr Guristyuk
Anatol Petrytsky
Anatoliy Nasedkin
Anton Losenko
Anton Solomoukha
Apollon Mokritsky
Arnold Lakhovsky
Isaak Brodsky
Issachar Ber Ryback
István Molnár
Bohdan Yermakov
Boris Kriukow
Boris Vladimirski
Borys Buryak
Borys Fedorenko
Misha Reznikoff
Mychajlo Dmytrenko
Stanislav Sychov
Taras Shevchenko
Oleg Minko
Oleg Tistol
Oleh Shupliak
Oleksandr Murashko
Oleksii Shovkunenko
Sarkis Ordyan
Saul Raskin
Shimshon Holzman
Solomon Nikritin
Victor Deysun
Victor Palmov
Victor Sydorenko
Viktor Kryzhanivskyi
Viktor Zarubin
Vitalii Shupliak
Vladimir Orlovsky
Vladimir Sosnovsky
Vladyslav Metyolkin
Yuri Makoveychuk
Yuri Pavlovich Shvets
Yuri Salko
Dmitry Levitzky
Matvei Vaisberg
Mikhail Turovsky
Mikhailo Deyak
Nikolai Bartossik
Nikolai Bodarevsky
Nikolai Dmitriyevich Kuznetsov
Nikolai Skadovsky
Nikolai Yaroshenko
Nikolay Samokish
Nikolay Shmatko
Rufin Sudkovsky
Fedir Krychevsky
Fedir Manailo
Fyodor Konyukhov
Fyodor Zakharov
Leonid Pozen
Les Podervianskyi
Michael Antonyuk
Michael Kmit
Mykhailo Andriienko-Nechytailo
Mykhailo Boychuk
Mykhaylo Berkos
Mykhaylo Chornyi
Mykhaylo Khmelko
Mykola Burachek
Mykola Hlushchenko
Mykola Ivanovych Tseluiko
Mykola Lebid
Mykola Murashko
Mykola Pymonenko
Mykola Storozhenko
Myroslav Yahoda
Valentin Khrushch
Valeriy Brezdenyuk
Vasiliy Ryabchenko
Vasyl Kasiyan
Vasyl Krychevsky
Vasyl Ponikarov
Vasyl Yermylov
Igor Gubskiy
Igor Savitsky
Ihor Podolchak
Ilya Shtilman
Mickola Vorokhta
Yefim Golyshev
Yevsey Moiseyenko
David Burliuk
David Ossipovitch Widhopff
Eugene Garin
Eugène Konopatzky
Evgeniy Chuikov
Jacques Hnizdovsky
Kazimir Malevich
Sergei Balenok
Sergei Sviatchenko
Sergey Lunov
Sergey Piskunov
Serhiy Svetoslavsky
Wladimir Burliuk
Grigoriy Dovzhenko
Kliment Red'ko
Liuboslav Hutsaliuk
Roman Bezpalkiv
Roman Turovsky-Savchuk
Ivan Marchuk
Ivan Padalka
Ivan Pokhitonov
Ivan Seleznyov
Ivan Soshenko
Ivan Yizhakevych
Paul Nietsche
Peter Krasnow
Opanas Slastion
Volodymyr Harbuz
Volodymyr Patyk
