Adolphe Féder
Akbar Khurasani
Alex And
Alexander Litovchenko
Alexander Osmerkin
Alexander Voytovych
Alexander Zhyvotkov
Alexandr Guristyuk
Anatoliy Nasedkin
Anton Losenko
Arnold Lakhovsky
Bohdan Soroka
Boris Vladimirski
Borys Fedorenko
Oleh Shupliak
Olga Rozanova
Sonia Delaunay
Victor Deysun
Viktor Zarubin
Vitalii Shupliak
Vladimir Orlovsky
Yulia Pinkusevich
Yuri Gorbachev
Dmitry Levitzky
Dmytro Bezperchy
Matvei Vaisberg
Mikhail Sazhin
Mikhail Turovsky
Mikhailo Deyak
Nikolai Bodarevsky
Les Podervianskyi
Michael Antonyuk
Mykhailo Boychuk
Mykhaylo Chornyi
Mykhaylo Khmelko
Mykola Lebid
Valentin Khrushch
Vasyl Kasiyan
Vasyl Ponikarov
Igor Gubskiy
Konstantin Bogaevsky
Mickola Vorokhta
Yelena Yemchuk
Zofia Szeptycka
Evgeniy Chuikov
Kazimir Malevich
Sergei Balenok
Sergei Sviatchenko
Sergey Piskunov
Roman Kost
Ivan Padalka
Peter Krasnow
Peter Kravchenko
Volodymyr Harbuz
