Antonín Odehnal
Irena Jůzová
Bohumil Kafka
Bohumil Zemánek
Břetislav Benda
Stanislav Binar
Stanislav Kolíbal
Olda Žák
Vladimír Oppl
Jean Dušek
Otto Gutfreund
Rudolf Doležal
Rudolf Němec
Emanuel Famíra
Emil Filla
Franta Belsky
František Bílek
František Lydie Gahura
Karel Lidický
Karel Otáhal
Karel Svolinský
David Černý
Jaromír E. Brabenec
Jindřich Severa
Jiří Kroha
Ladislav Toman
Jan Burka
Jan Kavan
Josef Drahoňovský
Josef Fanta
Josef Haszpra
Naděžda Plíšková
Hanuš Folkmann
Libor Fára
Václav Nejtek
