Aleksandr Deyneka
Alex Shagin
Alexander Bourganov
Alexander Brodsky
Alexander Grabovetskiy
Alexander Kosolapov
Alexander Liberman
Alexander Ney
Alexander Opekushin
Alexander Viktorovich Egorov
Alexei Tsvetkov
Anatoly Konenko
Andrei Kolkoutine
Andrey Drevin
Andrey Kovalchuk
Leo Lankinen
Misha Frid
Pyotr Tayozhny
Oleg Komov
Oleg Prokofiev
Oleg Tselkov
Sarra Lebedeva
Viktor Burduk
Vladimir Aleksandrovich Beklemishev
Vladimir Grig
Vladimir Izdebskiy
Vladimir Kush
Vladimir Winkler
Yuri Gorbachev
Dmitry Shorin
Matthew Chizhov
Mikhail Anikushin
Mikhail Mikhaylovich Gerasimov
Nikolai Aldunin
Ossip Zadkine
Fyodor Kamensky
Leonid Sokov
Naoum Aronson
Vasili Tsereteli
Vasily Vatagin
Gleb W. Derujinsky
Konstantin Medunetsky
Léon Indenbaum
Léopold Bernhard Bernstamm
Maria Lvovna Dillon
Marina Ryndzyunskaya
Mark Antokolsky
Pinchus Kremegne
Zinovy Vilensky
Danila Vassilieff
Dashi Namdakov
Esphyr Slobodkina
Serafim Sudbinin
Serge Youriévitch
Sergei Volnukhin
Grigory Gurevich
Grigory Yastrebenetsky
Naum Gabo
Roman Sakin
Ruslan Mamilow
Svetlana K-Lie
Vadim Sidur
Ivan Dikunov
Ivan Efimov
Ivan Martos
Ivan Shadr
Paolo Troubetzkoy
Vyacheslav Klykov
