Abbas Akhavan
Alfred Laliberté
Allyson Mitchell
Almuth Lütkenhaus
André Gauthier
Anne Harris
Anne Ramsden
Armand Vaillancourt
Françoise Sullivan
Henry Saxe
John A. Wilson
John Boxtel
John Weaver
Barbara Paterson
Beatrice Lennie
Betty Beaumont
Bill Vazan
Brendan Fernandes
Brian Cooley
Brian Groombridge
Byllee Lang
Carol Milne
George Anastasios Magalios
George Trakas
Hélène Rochette
Ian Carr-Harris
Louise Noguchi
Murray Favro
Parviz Tanavoli
Melvin Charney
Olivia Chow
R. Tait McKenzie
Rick Gibson
Rick Switzer
Sorel Etrog
Victor Tolgesy
Viktor Mitic
Yves Trudeau
Charles Marega
Charles Stankievech
Douglas Bentham
Ingrid Bachmann
Jean-Guy White
Jean Gaudreau
Jeannie Thib
Jeffrey Rubinoff
Joëlle Morosoli
Julia Dault
Miguel Joyal
Otto Rogers
Royden Rabinowitch
Shary Boyle
Sherry Grauer
Tim Whiten
Treffle Berthlaume
Trevor Gould
Godfrey Stephens
Kim Adams
Kim Morgan
Krista Buecking
Nathaniel Milljour
Walter Yarwood
Warren Carther
Colette Whiten
Cornelia Wyngaarden
Eldon Garnet
Elek Imredy
Elspeth Pratt
Emanuel Hahn
Gino Cavicchioli
Glenn Lewis
Gord Smith
Kosso Eloul
Lea Vivot
Lynn Hughes
Lynn Richardson
Mark Prent
Michael Snow
Shane Wilson
Spring Hurlbut
Sylvia Safdie
Yechiel
Claude Tousignant
Danek Mozdzenski
David Partridge
David Rabinowitch
David Thauberger
Dean Drever
Diane Landry
E.B. Cox
Edmund Alleyn
Evan Penny
Florence Wyle
James Carl
Joe Rosenthal
Kelly Jazvac
Kelly McCallum
Raoul Hunter
Mary Anne Barkhouse
Tobi Wong
William E. deGarthe
Jane Buyers
Katie Ohe
Liz Magor
Rusdi Genest
Russell Yuristy
Ruth Abernethy
Ruth Chambers
Susan Collett
Susan Shantz
Helen Waimel Robertson
Ivar Mendez
Ivor Lewis
Peter Camani
Peter Sawatzky
Phil R. White
Lillian McGeoch
Lilly Otasevic
Omer Arbel
Robert Chaplin
Nobuo Kubota
Noel Harding
Norman White
Sandra Bromley
Wendy Coburn
