Adéla Matasová
Alena Matejka
Aleš Lamr
Anna Chromý
Stanislav Hanzík
Stanislav Zippe
Olbram Zoubek
Paweł Maliński
Růžena Zátková
Sonja Vectomov
Vincenc Makovský
Vladimir Winkler
Vladimír Preclík
Dominik Auliczek
Mathias Zdarsky
Otakar Švec
Emanuel Max
František Mertl
František Rint
František Uprka
Ignaz Bendl
Karel Pauzer
Karel Zlín
Linda Klarfeld
Marian Karel
Marie Uchytilová
Zuzana Čížková
Daniel Ignác Trubač
Jakub Obrovský
Ladislav Zívr
Ladislav Šaloun
Ludmila Seefried-Matějková
Hana Purkrábková
Jan Štursa
Josef Mauder
Josef Max
Josef Mařatka
Josef Václav Myslbek
Josef Wagner the Younger
Helen Zelezny-Scholz
Herbert Kisza
Vojtěch Sucharda
Václav Levý
Věra Janoušková
